stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,79.07,1133.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0
  5-6,42.91,1673.39,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,220.67,6.13,0,0,61.3,49.04,0,0,0,0,0,0,0,0,0
  7-9,31.54,65.72,49.95,0,0,89.38,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,1461.56,36.8,0,0,870.1,23.66,0,0,2.63,0,0,0,0,0,0
 10-12,0,69.23,75.53,0,15.73,66.09,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,3.15,2045.53,31.47,0,0,805.62,18.88,0,6.29,78.67,0,15.73,6.29,0,0,0
 14-21,0,1,17,1512,173,131,0,0,18,22,4,3,0,46,1,0,5,3,121,2,0,187,3375,38,16,77,128,424,1,778,71,132,1169,882,0,0,4
 24-34,0,0,0,76.34,0,9.03,3.28,0,4.1,0,0,0,0,9.03,0,8.21,0,0,12.31,4.93,0,5.75,379.24,0,27.91,0.82,0,353.79,0,0,4.1,5.75,10.67,40.22,0,1.64,4.1
 36-46,0,0,0,4.83,0,4.03,0.81,0,2.42,0,0,0,0,0,0,0.81,0,0,0.81,1.61,0,3.22,110.38,0.81,3.22,0,0,78.96,0,0,0,1.61,0,6.45,0,0,0
 48-58,0,0,0,1.15,0,10.9,0,0.57,4.59,0,0,0,0,0.57,0,0,0,0,2.87,0,0,0.57,64.27,0,4.59,0,0,22.95,0,0,0,0,0,8.03,0,1.15,0
 60-70,0,0,0,0,0,10.8,0,0,6.87,0,0,0,0,0,0,0.98,0,0,5.89,0,0,0.98,32.39,0,5.89,0,0,12.76,0,0,0,0,0,0,0,1.96,0
 72-82,0,0,0,0,0,17.67,0,0,3.93,0,0,0,0,0,0.98,0,0,0,5.89,0,0.98,0,16.69,0,0.98,0.98,0,11.78,0,0,0,0,0,1.96,0,2.94,0
 84-94,0,0,0,3.19,0,8.5,0,0,3.19,0,0,0,0,1.06,0,0,1.06,0,0,1.06,0,0,12.74,0,0,0,0,62.66,0,0,0,0,0,3.19,1.06,1.06,0
 96-106,0,0,0,1.09,0,12.02,1.09,0,1.09,0,0,0,1.09,0,0,0,0,0,2.19,0,0,0,14.21,0,0,0,0,18.58,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,8.43,0,0,1.53,0,0,0,0,1.53,0.77,0.77,0,0,2.3,0,0,0,12.26,0,0.77,0.77,0,22.21,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,7.84,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84,0,1.96,1.96,0,25.48,0,0,0,0,0,0,0,0,0
