stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0
 24-34,0,6.57,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0,6.57,1.64,0.82,0,50.07,0.82,0,0,0,0,0
 36-46,0,9.67,0,0.81,2.42,0,0,0,0,0,0,0,0,0,0.81,0.81,0.81,7.25,0,0,0,56.4,0,0.81,0,0.81,0,0
 48-58,0,9.75,0,2.87,4.02,0,1.72,0.57,0.57,0,0.57,0,1.15,0.57,1.15,4.59,0,17.79,0.57,0,0,83.2,0,3.44,0,0,0,0.57
 60-70,0,26.5,0,2.94,7.85,0.98,0,0,0,0,0,0,0,0,0,2.94,0,7.85,0.98,0,0,102.08,0,0,0,0,0,0
 72-82,0,29.45,0.98,8.83,5.89,0.98,0.98,0,0,0,0.98,0,0.98,0,1.96,2.94,0,12.76,0,0.98,0,148.23,0,0,0,0.98,0,0
 84-94,0,39.3,0,3.19,20.18,0,0,1.06,0,0,1.06,1.06,0,0,0,4.25,1.06,12.74,0,0,1.06,268.7,0,0,0,0,1.06,0
 96-106,0,51.36,2.19,8.74,24.04,0,2.19,1.09,0,1.09,6.56,0,2.19,0,3.28,7.65,0,8.74,0,0,0,269.93,1.09,0,1.09,1.09,1.09,0
108-118,0.77,72.77,0,0.77,23.74,0,1.53,1.53,0,0,5.36,0,0,0,6.13,3.83,0.77,6.13,0,0,0,190.72,0,0,0,0,0,0
120,0,146.98,0,0,47.03,0,1.96,0,0,3.92,5.88,0,0,0,5.88,13.72,0,9.8,3.92,1.96,1.96,158.74,0,0,3.92,0,0,0
