stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,10,1,0,0,0,0,4,2,0,0,7,0,0,0,0,0,0
 24-34,0,0.82,1.64,0.82,0,3.28,12.31,0,0,0,0,0,0,0,0.82,0,0,0,0,0.82,0,0,1.64,8.21,0.82,0,0.82,0,0,4.93,0,0,1.64,2.46,2.46,0,0,0,0,0
 36-46,0,0,2.42,2.42,0,6.45,87.01,0.81,0,0.81,0,0,0,0,0,0,0.81,0,4.03,1.61,0.81,0,0.81,16.92,1.61,0,0,0,0,5.64,0,0,0.81,0,3.22,0,0,0.81,0,0
 48-58,0,0,0.57,1.15,0,18.94,194.52,0.57,0,4.59,0,0,0,0,0.57,0,0,0,12.62,9.75,0,0,8.61,53.36,0.57,0.57,0,0,0,2.3,0,0,0,0,11.48,0,0,0.57,0,1.72
 60-70,0,0,1.96,8.83,0,18.65,181.58,0,1.96,1.96,0,0,0,0.98,0,2.94,0,0,18.65,11.78,0,0,6.87,38.28,0,0,0,0.98,0,4.91,0,0,0,0,1.96,0,0.98,0,0,0.98
 72-82,0,0,1.96,23.56,0,26.5,127.62,1.96,2.94,3.93,0,0.98,0,0,1.96,13.74,0.98,4.91,19.63,38.28,0,0.98,7.85,29.45,0.98,0,0,0,0,3.93,0,0,0.98,0,3.93,0.98,0,2.94,0,0
 84-94,1.06,0,5.31,22.3,0,28.68,258.08,0,0,5.31,0,0,0,0,0,7.43,0,6.37,41.42,25.49,0,2.12,10.62,26.55,2.12,0,1.06,0,0,28.68,0,0,0,0,2.12,0,0,2.12,2.12,1.06
 96-106,0,0,6.56,31.69,0,50.27,501.62,3.28,2.19,10.93,3.28,0,2.19,8.74,2.19,6.56,2.19,7.65,25.14,49.18,2.19,2.19,12.02,65.57,0,2.19,0,0,0,28.41,0,1.09,2.19,0,7.65,2.19,0,2.19,2.19,4.37
108-118,0,0,8.43,13.02,2.3,50.55,370.73,1.53,1.53,6.89,0,0,0,3.83,0,5.36,0,16.85,34.47,35.23,0.77,0,28.34,63.57,0,0,2.3,0,0.77,19.92,0,1.53,0,0,2.3,0,0,3.06,4.6,6.13
120,0,0,9.8,19.6,0,23.52,186.18,1.96,0,3.92,1.96,0,1.96,5.88,1.96,5.88,0,3.92,17.64,50.95,0,3.92,15.68,35.28,3.92,0,0,0,0,7.84,0,0,0,0,1.96,0,0,1.96,0,3.92
