stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,1,65,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,5,1,0,4,0,0,1,0,4,0,0,3,8,0,0,62,0,0
 24-34,0,0,0,6.57,0,5.75,0,0,0,1.64,0,0,1.64,0,0.82,0,0,0,0,0.82,0,0,0.82,26.27,0,0,0,0,0,0,0,0,0,0,1.64,9.85,0,0,147.75,0,0
 36-46,0,0,0.81,0,0,7.25,0,0,0.81,12.09,0,0,0.81,0,0,0,0,0,0.81,17.72,0,0,2.42,41.09,0.81,0,0,0,0,1.61,0,0,0,0,0,4.83,0,0,55.59,0,0
 48-58,0,0,0.57,0.57,0,14.35,0,0,1.72,23.53,0,0,0,0.57,0,0.57,0,0.57,0,150.34,0,0,1.72,42.46,1.15,0,4.59,0,0,0.57,0,0,0,0,0,5.16,0,1.72,44.18,0,0
 60-70,0,0,1.96,0,0,24.54,0.98,1.96,0.98,28.46,0,0,0.98,0,0,0,0,0,0.98,544.74,0,0.98,6.87,52.02,9.82,0,5.89,0,0,0,0,0,0,0,0,10.8,0,5.89,32.39,0,0
 72-82,0,0,11.78,2.94,0,79.51,0.98,0.98,8.83,51.05,0.98,0.98,0.98,0,0,1.96,0,1.96,0,1159.34,0,4.91,7.85,80.5,16.69,1.96,10.8,0,1.96,4.91,0,0,0,0,0,13.74,0.98,7.85,67.73,3.93,0.98
 84-94,0,0,12.74,2.12,0,139.13,2.12,2.12,2.12,25.49,4.25,0,1.06,1.06,2.12,1.06,0,0,0,870.87,1.06,8.5,8.5,39.3,44.61,0,9.56,0,0,3.19,0,0,1.06,1.06,0,8.5,1.06,11.68,57.35,2.12,0
 96-106,1.09,1.09,26.23,5.46,1.09,118.03,2.19,1.09,2.19,28.41,3.28,0,0,5.46,1.09,1.09,1.09,3.28,0,858.98,1.09,16.39,10.93,65.57,30.6,2.19,12.02,0,1.09,7.65,0,0,0,1.09,0,4.37,2.19,22.95,73.22,8.74,1.09
108-118,0,0,17.62,1.53,0.77,121.79,1.53,5.36,1.53,29.11,1.53,0,0,3.83,0,0,1.53,1.53,0,769.79,0,10.72,6.89,63.57,55.15,0.77,12.26,0,3.83,1.53,0,0,0,0,0,9.19,1.53,32.17,47.49,5.36,0
120,0,0,27.44,5.88,1.96,39.2,1.96,3.92,0,15.68,1.96,0,0,1.96,1.96,0,0,3.92,0,723.16,1.96,3.92,7.84,48.99,58.79,0,5.88,0,3.92,3.92,1.96,0,1.96,0,0,3.92,0,25.48,29.4,0,0
