stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,5,0,0,0,0,1,0,9,2,4,5,1,0,0,0,0,2,2,0,0,0,10
 24-34,0,0.82,0,0,4.1,0,0,0,0,4.1,0,12.31,4.1,9.85,7.39,0,0,0,0,0,0,1.64,0,0.82,0,21.34
 36-46,0,0,0,0,0,0,0,0.81,0,8.86,0,8.06,12.09,7.25,41.89,0,0,0.81,0.81,0,0,2.42,0,0,0,16.11
 48-58,0,0.57,0,0,4.59,0,0,0,0,8.61,0,9.75,9.75,5.74,57.95,0,0.57,0,0,0,0,2.87,0,0.57,0,22.38
 60-70,0,0,0,0,7.85,0,1.96,0.98,0,15.7,0,5.89,16.69,0.98,92.26,0,0,0,0,0,0,14.72,0,0.98,0,18.65
 72-82,0,1.96,0,0,8.83,0,0,0.98,0,21.6,0.98,8.83,12.76,3.93,71.66,0.98,0,0,0,0,0,1.96,0,0.98,0.98,14.72
 84-94,0,0,1.06,0,7.43,0,0,0,0,18.05,0,9.56,5.31,3.19,28.68,0,0,0,0,0,0,0,1.06,0,0,22.3
 96-106,0,3.28,0,0,5.46,0,0,0,1.09,15.3,0,13.11,1.09,3.28,28.41,0,0,0,0,0,0,3.28,0,1.09,0,19.67
108-118,0,1.53,0,0.77,2.3,0,0,0,0,28.34,0,19.15,4.6,0.77,32.17,0,0,0.77,0,0.77,0,0.77,0,0,0,30.64
120,0,3.92,0,0,3.92,1.96,0,3.92,0,29.4,0,13.72,7.84,1.96,37.24,0,0,0,0,0,0,1.96,0,1.96,0,9.8
