stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,neural,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vasculature,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,6.29,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0.82,0.82,0,0,0,0,0,0,0.82,0,0,2.46,0.82,0,10.67,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0.81,0,0,8.06,0,0.81,0,0,0
 48-58,0,0,0,0.57,0,0,0.57,0,0,0,0,0,0.57,0.57,0,0,8.61,0,0,0.57,0,0
 60-70,0,0,1.96,0,0.98,0,0,0,0,0,0,0.98,0,2.94,0,0,23.56,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,0,1.96,0,0,1.96,0,1.96,0,0,28.47,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,3.19,0,0,0,0,2.12,1.06,0,41.42,0,0,0,1.06,0
 96-106,0,0,1.09,1.09,0,1.09,0,2.19,1.09,0,0,0,1.09,3.28,1.09,0,68.85,0,0,0,0,0
108-118,0,0,0.77,1.53,0.77,0,0.77,1.53,1.53,0,0,0.77,0.77,1.53,0,0,34.47,0,0,0,0,0
120,0,0,5.88,0,3.92,0,5.88,0,3.92,0,0,0,3.92,1.96,0,0,74.47,0,0,0,0,0
