stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,10.51,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,40.91,3.15,0,25.18,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,5,0,1,0,0,0,0,0,0,0,0,11,0,7,30,2,1,0,0,0,0,2,1,1,14,0,0,0,0
 24-34,0,0,0.82,0,0,4.1,0,0,4.1,2.46,0,0,0,0,73.88,0,15.6,90.29,0.82,0,0,0,0,0,0,0,2.46,21.34,0,0.82,0,0
 36-46,0,0,0,0,0,4.83,0,0,4.03,4.83,0,0,0,0.81,77.34,0.81,17.72,45.92,0.81,0,0,0,0,0,0,0,0,12.89,0,0,0,0
 48-58,0,0,1.15,0,0,5.16,0.57,0.57,4.59,13.2,0,0,0,0,109.02,1.72,11.48,26.4,0,0,0,1.15,1.15,0,0,0,0,9.18,1.72,0,0,0.57
 60-70,0,0,0,0,0,3.93,0.98,0,6.87,20.61,0,0,0,0,112.88,2.94,9.82,14.72,0.98,0,0,0.98,0,0,0,0,0,3.93,1.96,0,0,0
 72-82,0,0,0.98,0,0,10.8,0,0,15.71,23.56,0,0,0,0,183.57,0.98,8.83,11.78,0,0,0,0.98,0.98,0,0,0,0,4.91,3.93,0,1.96,0
 84-94,0,0,0,0,0,9.56,2.12,0,5.31,6.37,0,0,1.06,0,100.89,2.12,4.25,4.25,0,1.06,0,1.06,0,0,0,0,0,0,2.12,1.06,1.06,0
 96-106,0,0,1.09,0,0,10.93,1.09,0,4.37,9.84,1.09,0,0,0,87.43,0,3.28,9.84,0,0,0,2.19,1.09,0,0,0,0,2.19,1.09,1.09,1.09,0
108-118,0,0.77,0.77,0.77,0.77,5.36,0.77,0,5.36,10.72,0,0,1.53,0.77,70.47,3.06,1.53,6.13,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0
120,0,0,0,0,0,3.92,0,0,9.8,13.72,1.96,1.96,1.96,0,74.47,0,7.84,13.72,0,0,0,0,0,0,0,0,0,1.96,0,0,5.88,0
