stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0
  5-6,171.63,956.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,6.13,0,0,24.52,0,116.46,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,36.8,0,0,0,13.14,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,144.58,5.26,0,0,65.72,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,22.03,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.12,6.29,0,0,59.79,0,22.03,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,9,120,1,0,5,0,0,1,11,0,0,0,1,0,0,15,1,11,0,0,10,124,2,0,2,7,0,154,8,2,5,48,0,0,0,0,0
 24-34,0,0,0,3.28,60.74,0.82,0,13.95,0,0,0.82,0.82,0,0,0,0,0,2.46,28.73,0,21.34,0,0,2.46,92.76,0.82,0.82,1.64,0,0,81.26,0,0,0,42.68,0,0,3.28,0,0
 36-46,0,0,0,1.61,24.98,0,0,16.92,0.81,0,2.42,0.81,0,0,0,0,0,4.03,7.25,0,41.09,0,0,4.03,76.54,0,1.61,1.61,0,0,48.34,0,0,0,32.23,0,0,3.22,0,0
 48-58,0,0,0,0,19.51,0,0,10.33,2.87,1.72,15.49,0,6.31,0,0,0,0,3.44,6.89,0,28.12,0.57,2.3,0.57,46.48,0,0.57,1.15,0,0,16.07,0,0,0,19.51,0,0,8.61,0,0.57
 60-70,0,0,0,0,26.5,0,0,10.8,0.98,3.93,70.67,2.94,6.87,0,0,0,0,4.91,3.93,0,72.63,0.98,5.89,8.83,56.93,0,1.96,1.96,0,1.96,14.72,0,0,0,13.74,0,3.93,11.78,0,0.98
 72-82,0,0,0,0,22.58,0,0,10.8,0.98,3.93,111.91,13.74,3.93,0.98,0,1.96,0,6.87,6.87,0,61.84,0.98,3.93,5.89,23.56,0,0,0.98,0,0,11.78,0,0,0,2.94,0,5.89,17.67,1.96,0
 84-94,0,0,0,0,42.48,0,0,13.81,8.5,2.12,67.97,24.43,3.19,1.06,0,2.12,0,9.56,2.12,0,38.23,1.06,5.31,1.06,19.12,0,1.06,0,0,0,28.68,0,2.12,0,1.06,2.12,5.31,14.87,3.19,0
 96-106,0,0,0,0,49.18,1.09,2.19,8.74,5.46,5.46,103.82,40.44,0,1.09,1.09,1.09,0,7.65,5.46,0,63.39,2.19,2.19,4.37,32.79,0,6.56,3.28,0,1.09,25.14,0,0,0,6.56,1.09,5.46,32.79,3.28,0
108-118,0,0,2.3,0,53.62,0,0,12.26,6.89,4.6,91.15,34.47,0,0.77,0.77,3.06,0.77,5.36,3.06,0,48.26,1.53,1.53,2.3,20.68,0.77,4.6,2.3,0,0.77,23.74,0,0,0,4.6,0,3.83,16.09,0.77,0.77
120,0,0,0,0,52.91,0,0,5.88,5.88,1.96,62.71,31.36,0,1.96,1.96,0,1.96,5.88,3.92,0,35.28,1.96,1.96,3.92,23.52,0,0,0,0,1.96,7.84,0,0,0,0,0,9.8,13.72,0,0
