stage,blastomeres,epidermis,eye,glial,hatching.gland,lateral.line,liver,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord
  7-9,2.63,0,2.63,0,2.63,0,0,0,7.89,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,28.32,3.15,3.15,0,3.15,0
 14-21,0,1,3,0,0,0,0,0,1,1,0,0,0,2
 24-34,0,0,0,0,0,0.82,0.82,1.64,6.57,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0.81,3.22,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,0,0,0,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,0,0.98,0.98,0,0,0.98,0,0
 72-82,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0
