stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,44.69,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,40.91,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,10,2,0,5,0,0,0,0,1,0,1,0,0,0,0,1,0,8,0,0,8,36,5,1,1,0,0,8,5,2,1,5,27,0,0,1,0,0
 24-34,0,0,0,0,20.52,0,0,13.95,0.82,6.57,0.82,3.28,0.82,0,1.64,0,0,0.82,0,0,0.82,25.45,0,0,9.85,115.74,5.75,3.28,0.82,0,0,24.63,0,9.85,1.64,3.28,49.25,0,0,6.57,0,0
 36-46,0,0,0,0,14.5,0,0,16.11,0.81,2.42,0.81,3.22,0,0,2.42,0,0,0,1.61,0.81,0,28.2,0,0,5.64,127.3,0,2.42,0.81,0,0,33.84,0,3.22,1.61,0,34.64,0,0,8.06,0,0.81
 48-58,0,0,0,0,8.61,0,0,30.41,2.3,4.02,1.15,9.75,0.57,0.57,0.57,0,0,0,0.57,0,4.02,28.69,0,0.57,10.33,120.5,1.72,2.3,0,0,0,17.21,0,2.3,1.15,0,37.3,0,0,5.74,0,0.57
 60-70,0,0,0,0,12.76,0,0,51.04,1.96,6.87,0.98,12.76,0,0,0,0,0,0.98,0,1.96,0.98,34.35,0,0.98,5.89,151.15,1.96,6.87,0.98,0.98,0,20.61,0,3.93,0,0,25.52,0,0.98,3.93,0,1.96
 72-82,0,0,0.98,0,10.8,0.98,1.96,82.46,1.96,1.96,3.93,30.43,8.83,0,1.96,2.94,1.96,0.98,1.96,0.98,0,63.81,0,4.91,3.93,164.92,0,2.94,4.91,0,0.98,9.82,0,4.91,0.98,0,18.65,0,2.94,7.85,0.98,0
 84-94,0,0,0,0,13.81,2.12,1.06,60.54,1.06,2.12,2.12,22.3,7.43,0,0,3.19,3.19,9.56,1.06,1.06,1.06,45.67,2.12,2.12,3.19,93.46,3.19,3.19,0,0,0,58.41,0,3.19,1.06,0,5.31,1.06,0,5.31,2.12,0
 96-106,0,0,0,0,15.3,1.09,2.19,42.62,1.09,4.37,1.09,21.86,19.67,0,1.09,4.37,8.74,1.09,2.19,4.37,0,37.16,0,2.19,4.37,81.96,1.09,6.56,1.09,0,3.28,40.44,0,2.19,0,0,5.46,0,3.28,10.93,1.09,2.19
108-118,0,0,0,0,19.15,0,7.66,47.49,0.77,10.72,0,27.57,20.68,0,0,0.77,1.53,3.06,0.77,2.3,2.3,36.77,0.77,2.3,10.72,99.58,1.53,0.77,3.06,0,2.3,21.45,0,3.83,1.53,0,5.36,1.53,0,12.26,0.77,4.6
120,0,0,0,0,15.68,1.96,0,62.71,0,5.88,0,25.48,23.52,0,0,3.92,3.92,7.84,0,1.96,0,29.4,1.96,0,3.92,125.43,0,5.88,7.84,0,1.96,25.48,0,7.84,0,0,11.76,0,1.96,3.92,3.92,1.96
