stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,10.51,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,68.35,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.73,0,0,0,25.18,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,8,0,4,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,402,0,15,2,0,0,0,1,0,0,1,229,0,0,0,0,0
 24-34,0,0,11.49,0,9.03,2.46,0,32.83,0,0,0,9.03,0,0,0.82,1.64,2.46,0.82,0.82,2.46,0,10.67,0.82,0,8.21,1827.23,4.1,109.17,0.82,0,0,10.67,0,0.82,0.82,2.46,545.05,0,0,4.93,0,0.82
 36-46,0,0,4.03,0,7.25,0,0,149.05,2.42,0.81,1.61,29.81,0.81,0,2.42,0.81,0.81,0,0.81,0,0,18.53,0,1.61,1.61,4042.85,0,123.27,2.42,0,0,4.83,0.81,0.81,0.81,0,795.2,0,0,0,0,1.61
 48-58,0,0,2.87,0,26.97,3.44,0,671.35,1.15,3.44,5.16,132.55,0,0,1.72,4.02,4.02,1.72,2.87,1.72,6.31,86.07,1.15,2.87,14.92,5905.6,2.87,88.94,2.87,0,0.57,13.2,0,0,1.72,0,953.09,0,1.15,4.02,0,12.62
 60-70,0,0,2.94,0,14.72,1.96,0,1159.18,0.98,8.83,6.87,208.08,1.96,0,2.94,3.93,1.96,4.91,0.98,4.91,5.89,106.99,0.98,6.87,12.76,7500.79,0.98,84.41,3.93,0,2.94,12.76,0,0.98,1.96,0,899.07,0,4.91,7.85,0.98,8.83
 72-82,0,0,18.65,0,65.77,52.03,0,1637.41,0.98,10.8,11.78,300.39,18.65,0,6.87,9.82,2.94,8.83,3.93,14.72,4.91,233.64,0.98,9.82,23.56,6660.58,2.94,143.32,22.58,0,3.93,24.54,0,0.98,2.94,0,575.25,4.91,5.89,16.69,12.76,31.41
 84-94,0,0,14.87,0,117.89,16.99,0,1141.69,3.19,4.25,1.06,215.59,14.87,0,0,14.87,5.31,13.81,1.06,33.99,4.25,124.26,2.12,7.43,14.87,3740.5,2.12,176.3,15.93,0,1.06,30.8,1.06,3.19,1.06,0,352.6,2.12,8.5,9.56,4.25,9.56
 96-106,1.09,0,22.95,0,106.01,33.88,2.19,898.32,5.46,4.37,6.56,224.03,18.58,0,2.19,14.21,6.56,6.56,1.09,37.16,0,128.96,5.46,7.65,14.21,3125.54,1.09,250.26,9.84,0,3.28,50.27,1.09,0,0,0,162.83,7.65,3.28,7.65,6.56,15.3
108-118,0,0,9.96,0.77,49.79,12.26,0.77,659.49,1.53,3.06,1.53,147.83,18.38,0,0,7.66,2.3,2.3,0,22.98,0,93.45,1.53,3.06,6.13,4274.84,1.53,161.62,8.43,0,0,20.68,0.77,0.77,0,0,130.21,4.6,1.53,9.96,0,3.06
120,0,0,15.68,0,76.43,11.76,3.92,599.69,1.96,5.88,1.96,127.39,5.88,0,1.96,17.64,3.92,0,0,9.8,1.96,96.03,3.92,3.92,11.76,4848.51,3.92,99.95,7.84,0,1.96,15.68,0,3.92,0,0,139.14,0,3.92,3.92,0,0
