stage,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0
 24-34,0,0,0.82,7.39,0,0,0,0,0,0.82,0,0,3.28,0,0,0,0,0.82,1.64,0,0
 36-46,0,0,2.42,15.31,0,0,0,0,0,0,0,0,2.42,0,0,0,0.81,1.61,0.81,0,0
 48-58,0,0,2.87,10.33,0,0,0,0,0,1.15,1.15,0,8.03,0.57,0,0,0,1.72,0.57,0,0
 60-70,0,0,0.98,5.89,0,0,0,0,0,4.91,0,0.98,12.76,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,21.6,0,0,0,0,0,10.8,9.82,0.98,13.74,0,0,0.98,0.98,0,0,0,0
 84-94,0,1.06,1.06,28.68,0,0,1.06,0,0,12.74,9.56,0,3.19,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,36.06,1.09,0,3.28,0,0,9.84,18.58,0,7.65,0,0,2.19,0,0,1.09,0,1.09
108-118,0,0,1.53,29.11,0.77,0.77,0.77,0,0,13.79,15.32,0.77,14.55,0,0.77,3.06,0,0,0,0,0
120,0,0,3.92,54.87,0,3.92,0,1.96,1.96,23.52,11.76,1.96,5.88,1.96,0,5.88,0,0,0,1.96,0
