stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
 24-34,0,0,6.57,0,0,0,13.13,0,0,0,0,0,0,0,0,4.93,0,0,0.82,0,0.82,0,3.28
 36-46,0,0.81,19.34,0,0,0,22.56,0,0,0,0,0.81,0,0,0,4.03,0,0,0,0,0,0,2.42
 48-58,0,0,24.67,0,0,2.87,17.21,0,0,0,0,0.57,0,0,0,4.02,0,0,0,0,0.57,0,1.72
 60-70,0,2.94,9.82,0,0,18.65,34.35,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0.98,0,3.93
 72-82,0,4.91,11.78,0.98,0,34.36,79.51,0,0,0.98,0,1.96,0,0,0.98,2.94,0,0,0.98,0,0,0,9.82
 84-94,1.06,6.37,10.62,0,1.06,22.3,106.2,0,1.06,0,0,1.06,0,0,0,2.12,1.06,0,0,0,0,0,13.81
 96-106,2.19,9.84,6.56,0,0,21.86,138.79,1.09,0,0,1.09,3.28,2.19,0,1.09,12.02,0,1.09,2.19,0,0,1.09,26.23
108-118,1.53,11.49,6.13,0,0.77,18.38,144.77,0,0,0,0,2.3,0,0.77,0,8.43,0,0.77,0,0,0,0,17.62
120,0,35.28,15.68,0,0,19.6,168.54,0,0,0,0,0,1.96,0,0,5.88,0,0,0,0,0,0,33.32
