stage,axial,blastomeres,eye,fin.mesenchyme,glial,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord
  3-4,26.36,1027.88,0,0,0,0,0,0,0,0,0,39.53,0
  5-6,24.52,331,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,23.66,0,10.51,0,0
 14-21,0,0,0,0,0,0,0,1,2,0,0,0,1
 24-34,0,0,0.82,0,0,0.82,0,0.82,1.64,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,2.42,0,0,0,0.81
 48-58,0,0,0.57,0,0.57,0,0,0,4.59,0.57,0,0.57,0
 60-70,0,0,1.96,0.98,0,0.98,0,0,1.96,0,0,0,0
 72-82,0,0,0.98,0,1.96,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,1.06,0,0,4.25,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,2.19,0
108-118,0,0,0.77,0,0,0,0,0,2.3,0,0,0.77,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0
