stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,28,43,0,12,0,0,0,0,1,0,0,0,0,0,0,0,7,0,6,17,3,0,0,0,0,0,2,0,1,5,10,0,0,41,0,0
 24-34,0,0,0,0.82,12.31,3.28,0,69.77,0,0,0,0,0.82,0,7.39,0,0,0.82,0,0,9.85,0,1.64,15.6,1.64,0.82,0,0,0,1.64,0,0.82,0,6.57,7.39,0,0,204.39,0,0.82
 36-46,0,0,0,0,5.64,0.81,0,68.48,4.03,0,0,1.61,0,0,5.64,0,0,0,0,0,20.95,2.42,4.83,20.14,0.81,0,0.81,0,0,0,0,0,0,0,4.03,0,0,184.5,0,0
 48-58,0,0,0,0,0.57,0,0,51.64,5.74,0.57,0.57,2.3,0,0,6.89,0,0,0,0,0,16.64,3.44,8.61,18.36,0.57,0.57,1.15,0.57,0,0.57,0,0.57,2.3,0,5.16,0,0,151.48,0,0.57
 60-70,0,0,0,0,6.87,0,0,58.89,10.8,0,1.96,6.87,0,0,9.82,0,0,0,0,0,49.08,0.98,20.61,20.61,0.98,0,3.93,0,1.96,0,0,1.96,7.85,0,0.98,0,7.85,110.91,0,0
 72-82,0,0,0,0,5.89,0,0,42.21,10.8,0,0.98,17.67,0.98,0,14.72,7.85,0,0,0.98,0,63.81,6.87,20.61,40.25,0,0.98,4.91,0,4.91,0.98,0,1.96,5.89,0,0.98,1.96,3.93,215.97,1.96,0.98
 84-94,0,0,0,0,8.5,0,0,60.54,12.74,0,3.19,4.25,0,0,9.56,1.06,0,1.06,0,1.06,33.99,3.19,11.68,25.49,0,0,2.12,0,1.06,1.06,0,1.06,5.31,0,1.06,3.19,5.31,176.3,0,0
 96-106,0,0,0,0,22.95,1.09,0,50.27,22.95,0,1.09,14.21,0,0,22.95,2.19,1.09,0,0,1.09,31.69,2.19,10.93,19.67,0,1.09,4.37,1.09,2.19,0,0,6.56,5.46,0,0,3.28,5.46,198.9,5.46,0
108-118,0,0,0.77,0,13.79,1.53,1.53,35.23,25.28,1.53,0,7.66,3.06,0,8.43,3.83,0,0,1.53,0,23.74,0.77,13.79,17.62,0,0,1.53,0.77,0.77,0.77,0,1.53,3.83,0,0,6.13,5.36,140.17,0.77,0
120,0,0,0,0,5.88,0,0,35.28,17.64,0,0,15.68,0,0,5.88,1.96,0,0,0,0,11.76,5.88,15.68,15.68,0,0,1.96,1.96,0,0,0,1.96,5.88,0,0,1.96,0,113.67,0,0
