stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,5.26,0,0,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,63.09,2.63,0,0,31.54,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,37.76,3.15,0,0,31.47,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,22,3,0,11,0,0,0,1,0,0,0,0,0,0,0,7,0,0,2,34,4,0,0,0,0,0,11,1,2,12,6,0,0,0,0
 24-34,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0,0,0,0.82,0,0,0,0,0.82,3.28,0,0,0,0.82
 36-46,0,0,0,3.22,0,0,4.03,0,0,0,0,0,1.61,0.81,0,0.81,0,0.81,4.03,0,0,0.81,26.59,0,0,0,0,2.42,0.81,0,0,0,2.42,5.64,0,0,0.81,0.81
 60-70,0,0.98,0,2.94,0,0,156.06,0.98,36.32,0.98,0,0.98,5.89,1.96,2.94,1.96,0,1.96,48.09,0.98,0.98,2.94,211.03,0.98,7.85,1.96,0,5.89,0,0,1.96,0,0,36.32,0,0.98,3.93,2.94
 72-82,0,0,0,0.98,0,0,4.91,0,0,0,0,0.98,0.98,0,1.96,0,0.98,0,5.89,0,0,0,10.8,0.98,0,0.98,0,2.94,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,9.56,0,1.06,0,0,0,4.25,0,0,0,0,1.06,8.5,0,1.06,1.06,13.81,0,1.06,0,0,0,0,0,0,0,0,0,0,1.06,2.12,0
 96-106,0,0,0,2.19,0,0,8.74,1.09,1.09,1.09,0,0,2.19,0,0,0,1.09,0,3.28,0,1.09,1.09,12.02,0,3.28,1.09,0,2.19,0,0,0,0,0,1.09,1.09,0,0,0
108-118,0,0,0,6.13,0,0.77,18.38,1.53,5.36,0,0,0,2.3,2.3,0,0.77,0,0,5.36,0,0,3.83,26.04,0.77,0.77,1.53,0,3.83,0,0,0,0,0,0.77,0.77,0,3.83,2.3
