stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,0,0,0,2,0,2,4,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0.82,0,0,1.64,0,13.95,0.82,0,0,0.82,0,0,1.64,4.1,0,0
 36-46,0,0,0,0,1.61,0.81,1.61,0,0,0,0,0,0,0.81,21.75,0,0,0,0,0,0.81,0,5.64,0,0
 48-58,0,0,0,0,4.02,0,0.57,0.57,0,0.57,0,0,1.15,0,8.03,0,0.57,0,0,0,0,0,2.3,0.57,0
 60-70,0,0,0,0,15.7,0,1.96,0,0,0,0,0.98,0,0,13.74,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,12.76,0,2.94,0,0,0.98,0,1.96,0,0,12.76,0,0,0,0.98,0,0,0,0.98,1.96,0.98
 84-94,0,0,0,0,13.81,0,3.19,2.12,0,2.12,0,1.06,0,0,7.43,1.06,0,0,0,0,0,0,0,1.06,0
 96-106,0,1.09,0,0,6.56,0,2.19,2.19,0,1.09,1.09,3.28,1.09,1.09,12.02,0,0,2.19,0,0,0,0,0,0,0
108-118,0,0.77,0,1.53,6.89,0,0.77,3.06,0.77,0.77,0.77,3.83,0,0,6.89,0,0.77,0.77,0.77,0,0,0,0,0,0
120,0,1.96,0,0,3.92,0,1.96,5.88,0,0,0,0,0,0,19.6,0,1.96,3.92,0,0,0,0,1.96,0,0
