stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,26.29,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,89.38,0,0,0,18.4,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,3.15,0,0,18.88,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,2,0,0,0,0,1,0,0,0,32,0,0,0,2,0,0,0,13,0,0,0,0,1,2,1,1,5,0,0,0,0
 24-34,0,0,0.82,0.82,0,0,6.57,0.82,0.82,3.28,0,0,0.82,74.7,0,0.82,0.82,2.46,0,0,4.1,68.13,0,0,0.82,0,1.64,0,0,0.82,17.24,0,0,0.82,0
 36-46,0,0,0,0.81,0.81,0,17.72,0,0,4.03,0,0,0,70.9,0,0,0,7.25,0,0,1.61,66.06,0,0.81,0.81,0,1.61,0,0,0,14.5,0,0,0,0
 48-58,0,0,0,1.72,0,0,27.54,0,0,6.89,0,0,0,52.22,0,0,0,4.59,0,0,1.15,41.31,0,0,0.57,0,2.3,0,0,0,6.89,0,0,1.15,0
 60-70,0,0,0,0.98,0,0,17.67,1.96,0,0.98,0,0.98,0,51.04,0,0,0,6.87,0,0.98,0,26.5,0,0,0,0,0.98,0,0,0,0.98,0,0,0.98,0.98
 72-82,0,0,0,2.94,0,0,16.69,0,0,4.91,2.94,0,0,64.79,0,0,0,4.91,0,0,0,31.41,0,0.98,0,0,1.96,0,0,0,2.94,0.98,0.98,1.96,0
 84-94,0,0,0,1.06,0,0,9.56,0,0,1.06,0,0,0,67.97,1.06,0,0,4.25,0,1.06,0,11.68,0,1.06,0,0,4.25,0,0,0,0,0,1.06,1.06,0
 96-106,0,0,0,2.19,1.09,0,3.28,0,0,2.19,1.09,0,0,101.63,0,1.09,0,5.46,1.09,0,2.19,8.74,1.09,0,0,0,4.37,0,0,0,0,0,0,2.19,1.09
108-118,0,0,0,3.06,0.77,0.77,10.72,0,0,1.53,3.83,0,0.77,75.06,2.3,0,0,9.19,1.53,0,1.53,15.32,0.77,0,0.77,0,3.06,0,0,0,1.53,0,0,3.06,0.77
120,0,0,0,5.88,1.96,0,7.84,0,0,5.88,1.96,0,0,84.27,0,1.96,0,0,0,0,3.92,9.8,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0
