stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,10.51,0,0,13.14,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,0,0,0.82,0,0.82,1.64,0,0.82,15.6,0.82,0,0,0,0.82,0.82,4.93,0,0,0
 36-46,0,0,0,0,0,2.42,0,0,0.81,0,0,0,0,0,0,1.61,0,2.42,15.31,0,0,0,0,1.61,0,3.22,0,0,0
 48-58,0,0,0,0,0,5.16,0,0,0.57,0,0,0,0,0,0,4.02,0,0.57,14.92,0.57,0,0,0,2.3,0,0,0,0,0.57
 60-70,0,0,0,0,0,7.85,0,0.98,0.98,0,0,0,0,0,0,3.93,0,0,14.72,0,0,0,0,0.98,0,1.96,0,0,0
 72-82,0,0,0,0,0,4.91,0,0,4.91,0,0,0.98,0,0,0,2.94,0.98,0,14.72,0,0,0,0,0.98,0,1.96,0,0,0
 84-94,0,0,0,0,0,4.25,1.06,0,2.12,0,0,0,1.06,0,0,7.43,0,1.06,9.56,0,0,0,0,5.31,0,0,0,1.06,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,1.09,0,0,0,5.46,0,1.09,4.37,1.09,1.09,0,0,5.46,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0.77,0,0.77,0,0,0.77,0,0.77,0,3.83,0.77,0.77,7.66,0,0.77,0,0.77,5.36,0,0.77,0.77,0,0
120,0,0,0,9.8,1.96,1.96,1.96,0,7.84,1.96,0,1.96,1.96,0,0,15.68,0,0,15.68,0,1.96,0,0,11.76,0,0,0,0,0
