stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,1,0,0,3,0,0,0,1,0,0,0,1,14,0,0,0,2,1,0,4,21,0,0,0,0
 24-34,0,0,1.64,0,6.57,0,0,10.67,0,0,0,0,0,2.46,0,2.46,77.98,2.46,0,0,0,0.82,0.82,1.64,25.45,0,0,0,0
 36-46,0,0,0.81,0,10.47,0,0,17.72,0,0.81,0,0,0,1.61,0,0.81,49.15,0.81,0,0,0,1.61,0,0,41.09,0,0,0,0.81
 48-58,0,0,0.57,0,6.89,0,0.57,18.94,0,0,0,0,0,6.31,0,0,25.25,8.03,0,0,0,0,0,0,18.36,0,0,0.57,0.57
 60-70,0,0,0,0,8.83,0,0.98,18.65,0,0,0,0,0,9.82,0,0.98,15.7,5.89,0,0,0,0,0,0,14.72,0,0,0.98,0
 72-82,0,0,0.98,0,10.8,0,1.96,20.61,0,0,0,0,0,21.6,0.98,0,18.65,5.89,0,0,0,0,0,0,5.89,0,0.98,0.98,0
 84-94,0,0,1.06,0,7.43,0,1.06,15.93,1.06,0,2.12,0,0,11.68,0,0,13.81,3.19,0,0,0,2.12,0,0,2.12,0,0,1.06,0
 96-106,0,0,2.19,1.09,5.46,0,0,21.86,0,1.09,0,1.09,0,5.46,2.19,0,14.21,8.74,0,0,0,0,0,0,2.19,0,0,0,0
108-118,0,0,3.83,0,6.13,0.77,0,10.72,1.53,0,0,0,0.77,5.36,0.77,0.77,12.26,6.13,0,0,0,0,0,0,3.83,0.77,1.53,1.53,0
120,0,0,0,0,11.76,1.96,0,17.64,0,0,0,0,0,3.92,0,1.96,13.72,5.88,0,0,0,1.96,0,0,0,0,0,0,0
