stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,10,1,0,0,1,0,2,0,0,7,0,0,0,0
 24-34,0,1.64,0,3.28,0,0,0,0.82,0,0,0.82,0,0,0,0,4.93,0,0.82,24.63,0,0,0,0,8.21,0,0,1.64,3.28,0,0.82,0,0
 36-46,0.81,1.61,0,3.22,0,0,0.81,0,0,0,0.81,0,0,0,0.81,2.42,0,0.81,24.98,0,0,0,0,10.47,0,0,0,6.45,0,0.81,0,0
 48-58,0,0.57,0,2.3,0,0,0,0.57,0.57,0,0,0,0,0,0.57,5.16,0,1.15,13.2,1.15,0,0,0,13.2,0,0,0,4.59,0,0,0,0.57
 60-70,0,0,0,7.85,0,0,0.98,0,0.98,0.98,0,0,0,0,0.98,2.94,0,0.98,16.69,0,0,0,0,16.69,0,0,0,0.98,0,0,0,0
 72-82,0,0.98,0.98,7.85,0,0,0,1.96,1.96,0,0,0,0.98,0,0,20.61,1.96,0,11.78,0,0,0.98,0,15.71,0,0,0,0,0,0.98,0,0
 84-94,0,2.12,0,2.12,0,2.12,0,2.12,4.25,0,1.06,0,0,1.06,0,5.31,0,2.12,4.25,0,1.06,0,0,43.54,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,5.46,0,0,0,1.09,1.09,0,0,1.09,1.09,0,0,10.93,0,0,4.37,0,1.09,0,0,45.9,0,0,0,0,0,1.09,1.09,0
108-118,0,5.36,0,4.6,0,0.77,0,1.53,1.53,0,1.53,0.77,0,0,0,4.6,0,0,4.6,0,0,0,0,35.23,0,0.77,0,0,0.77,0,0,0
120,0,9.8,5.88,3.92,1.96,0,0,0,9.8,1.96,0,0,0,0,0,9.8,0,1.96,5.88,0,0,1.96,0,70.55,0,1.96,0,0,0,0,0,0
