stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0
  7-9,5.26,13.14,0,2.63,0,0,0,76.23,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,470.54,10.51,0,0,81.49,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,31.47,0,6.29,0,0,0,129.03,0,0,0,0,0,59.79,0,0,0,0,0,0,0,0,0,0,1180.11,18.88,0,0,201.41,0,0,0,9.44,0,3.15,0,0,0,0,0
 14-21,0,0,3,16,244,31,0,96,0,5,0,17,7,12,2,1,11,0,2,0,18,0,0,9,738,16,18,28,13,0,31,9,11,1,26,254,0,0,0,0
 24-34,0,0,3.28,9.03,48.43,12.31,0,74.7,0,2.46,0,13.95,4.93,1.64,0.82,0,13.13,0,8.21,2.46,12.31,0.82,0,4.93,470.35,4.93,20.52,18.88,0,0,55.82,1.64,4.1,0,0.82,109.99,0,0,3.28,0
 36-46,0,0,1.61,2.42,26.59,8.06,0,118.43,0.81,1.61,0,24.17,1.61,0,0,0.81,6.45,0,4.83,5.64,22.56,2.42,0.81,8.86,451.17,3.22,30.62,18.53,0,0,69.29,0,4.83,0,0,107.15,0,0,4.03,0
 48-58,0,0,1.15,0,16.64,12.62,0,92.38,0.57,4.59,1.15,23.53,2.3,1.15,0,1.72,3.44,0,6.31,1.72,26.97,4.59,0,4.02,168.7,1.72,11.48,11.48,0,0,39.02,0,2.3,0.57,0,36.72,0,0,2.87,0
 60-70,0,0,0.98,0,20.61,2.94,0,95.21,0,3.93,0,24.54,11.78,0.98,0,0.98,0.98,0,6.87,5.89,22.58,0.98,0,0,109.93,0,9.82,12.76,0,0,33.37,0,3.93,0,0,18.65,2.94,0,0.98,0
 72-82,0,0,9.82,0,33.38,10.8,0.98,152.16,1.96,4.91,0.98,38.28,12.76,0,0.98,1.96,7.85,0.98,6.87,2.94,52.03,6.87,0.98,3.93,200.26,0.98,32.39,35.34,0,0,35.34,0,0.98,0,0,20.61,5.89,1.96,5.89,0
 84-94,0,0,11.68,1.06,55.23,20.18,14.87,133.82,0,10.62,1.06,21.24,33.99,1.06,0,7.43,22.3,1.06,6.37,12.74,40.36,7.43,1.06,2.12,134.88,3.19,25.49,39.3,0,0,169.93,0,6.37,1.06,0,7.43,23.36,1.06,2.12,1.06
 96-106,0,0,1.09,0,60.11,13.11,3.28,104.91,0,8.74,0,25.14,28.41,0,1.09,13.11,16.39,2.19,18.58,2.19,36.06,12.02,1.09,2.19,123.49,1.09,34.97,40.44,0,0,107.1,0,3.28,2.19,0,8.74,22.95,2.19,5.46,0
108-118,0,0,7.66,0.77,101.11,13.79,19.92,88.85,2.3,27.57,2.3,36.77,52.09,0,0.77,16.85,38.3,0,18.38,16.85,52.09,7.66,1.53,4.6,201.45,4.6,26.81,38.3,0,0,151.66,0,7.66,2.3,0,6.89,39.83,0,8.43,0.77
120,0,0,3.92,1.96,68.59,25.48,3.92,66.63,5.88,25.48,1.96,15.68,27.44,0,0,7.84,5.88,0,3.92,13.72,48.99,3.92,1.96,1.96,184.22,7.84,29.4,31.36,0,1.96,127.39,0,9.8,1.96,0,9.8,13.72,0,1.96,1.96
