stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,2003.05,34855.63,0,0,0,0,0,0,0,0,0,0,0,0,1330.97,0,0,0,0,0,0,0,0
  5-6,2623.48,34485.33,36.78,0,0,0,0,98.07,0,0,852.02,91.94,0,239.06,662,0,0,0,0,0,0,0,0
  7-9,249.73,307.56,341.73,0,2.63,1075.14,0,302.3,0,0,10790.87,223.44,0,2657.63,10.51,60.46,0,0,0,0,0,0,0
 10-12,0,15.73,9.44,0,0,188.82,0,22.03,0,0,563.31,28.32,0,91.26,0,22.03,0,3.15,0,0,0,0,0
 14-21,0,0,0,8,1,1,0,1,3,0,19,1,1,2,0,0,6,0,1,6,3,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,1.64,0,0,0,0,0,0,0,0.82,0.82,0,0.82
 36-46,0,0,0,0,0,1.61,0.81,0,0,0,1.61,0,0.81,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.15,0,0,1.15,0,4.59,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,2.94,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,2.19,0
108-118,0,0,0,0.77,0,0.77,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0
