stage,blastomeres,eye,fast.muscle,fin.epithelia,glial,gut,iridophores,liver,melanocytes,mesenchyme,neural,olfactory,otic,periderm,pronephros,spinal.cord,vascular.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,4.93,0,0,0.82,4.1,0,0,0.82,0,0,0,0
 36-46,0,2.42,0,0,0,0,16.92,0,0,0,2.42,0,0,0.81,0,1.61,0,1.61
 48-58,0,0.57,0,0,0.57,0,30.99,0,0,0.57,4.59,0.57,0.57,1.15,0,1.15,0,0
 60-70,0,0,0,0,1.96,0,80.48,0,0,0.98,2.94,0,0,1.96,0,0.98,0,0.98
 72-82,0,1.96,0,0,1.96,0,71.66,0.98,0.98,0.98,6.87,0.98,0,3.93,0,0.98,0,0.98
 84-94,0,2.12,0,0,4.25,1.06,84.96,0,2.12,2.12,1.06,0,0,14.87,0,0,0,0
 96-106,0,0,0,1.09,1.09,0,80.87,0,0,0,4.37,0,0,10.93,1.09,1.09,0,0
108-118,0,0,0,0.77,3.06,0,95.75,0,3.83,1.53,1.53,0,0,6.89,0,0,1.53,0.77
120,0,3.92,1.96,0,1.96,0,62.71,0,0,0,1.96,0,0,5.88,0,0,0,1.96
