stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,7,0,0,1,0,0,0
 24-34,0,0.82,0.82,0,0,0,0,0,5.75,0,1.64,0.82,0.82,15.6,0,0,0,0,32.01,0,0.82,1.64,0,0,0
 36-46,0,0,0.81,0.81,0,0,0,0,0.81,0,1.61,0,0,12.09,0,0,0,0,19.34,0,0,0,0,0,0
 48-58,0,0,0,1.15,0.57,1.72,0,0,0,0.57,1.15,0.57,0,9.75,0.57,0,0,0,13.2,0,0,4.59,0,0,0.57
 60-70,0,0,1.96,3.93,1.96,1.96,0,0,0,0,0.98,0,0,11.78,0,0.98,0,0,11.78,0,0,2.94,0,0,0
 72-82,0,0,1.96,3.93,0.98,1.96,0,0,1.96,0,2.94,0.98,0.98,11.78,0,0,0.98,0,19.63,0.98,0,1.96,0,0,0.98
 84-94,0,0,2.12,2.12,2.12,1.06,0,1.06,3.19,0,1.06,0,0,5.31,0,1.06,2.12,0,50.98,0,0,2.12,0,0,1.06
 96-106,0,0,5.46,4.37,0,2.19,0,0,2.19,0,1.09,1.09,1.09,6.56,0,0,0,0,37.16,0,0,1.09,0,0,1.09
108-118,0,0,4.6,3.83,0,0.77,0,0,3.83,0,0.77,0.77,0.77,4.6,0,0,0,0,21.45,0,0,0.77,0.77,0.77,0.77
120,0,0,5.88,1.96,0,0,1.96,0,0,0,0,0,0,3.92,0,0,1.96,0,19.6,0,0,0,0,0,0
