stage,axial,blastomeres,epidermis,eye,glial,gut,hatching.gland,heart,lateral.line,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,8,0,0,0,0,1,10,3,1,0,0,1,5,27,0,0
 24-34,0,0,0,0,21.34,0,0,0,0.82,1.64,13.95,10.67,1.64,0,0,0,1.64,28.73,0,0
 36-46,0,0,0,0.81,12.89,0,0,0.81,0,0.81,28.2,9.67,1.61,0,0,0,0,25.78,0,0
 48-58,0,0,0,0.57,16.07,0,0,0.57,1.15,0,14.35,4.59,0.57,0,0,0,0.57,16.64,0,0
 60-70,0,0,0,0,13.74,0,0,0,0,0,20.61,8.83,0.98,0,0,0,0.98,16.69,0,0
 72-82,0,0,0,2.94,16.69,0.98,0,0,4.91,0.98,19.63,7.85,4.91,0,0,0,0,6.87,0,0.98
 84-94,0,0,1.06,2.12,9.56,1.06,0,0,1.06,1.06,11.68,5.31,2.12,0,0,0,2.12,5.31,0,0
 96-106,0,0,0,4.37,7.65,0,0,0,4.37,0,6.56,7.65,3.28,0,1.09,0,0,5.46,0,0
108-118,0,0,0,0.77,6.89,0,0,0,2.3,1.53,9.19,8.43,1.53,0,0,0,3.06,3.06,0.77,0
120,0,0,0,7.84,3.92,0,0,0,1.96,0,7.84,0,5.88,0,0,0,0,1.96,0,0
