stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,239.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.52,2.63,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,160.5,0,0,0,34.62,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41,0,3,0,0,2,7,1,0,0,0,0,0,14,0,3,2,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,0,2.46,0,0.82,0,0,2.46,0,0,0,0,0,0,58.28,0,1.64,0,0,1.64,28.73,0,0.82,0,0,0,9.85,72.24,0,0,3.28,0,0,0.82,0,1.64
 36-46,0,0,0,0,2.42,0,0,2.42,0,1.61,0,0,10.47,0,0,0,0,0,0,34.64,0,3.22,0,0,0,10.47,0,0,0,0,0,5.64,50.76,0,0,3.22,0,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,0,7.46,0,0,0.57,0.57,21.8,0,0,0,0,0,0,41.89,0.57,1.72,0,0,0.57,7.46,0,0,0.57,0,0,1.15,30.41,0,0,2.87,0,0,0,0,0.57
 60-70,0,0,0.98,0,2.94,0,3.93,4.91,0,0,0.98,0.98,59.87,0,0,0,0,0.98,0,70.67,0,3.93,0,0,0,30.43,0,0.98,0,0,0,0,37.3,0,0,1.96,0,0,0,0,0
 72-82,0,0,4.91,0,0.98,0.98,56.94,23.56,0.98,0.98,2.94,6.87,185.53,0,0,2.94,0,0,0,176.7,0,21.6,0,0.98,1.96,102.09,0.98,0.98,0.98,0,0.98,3.93,73.62,0,0,3.93,0.98,0,0.98,0,2.94
 84-94,0,0,5.31,0,6.37,2.12,114.7,12.74,0,2.12,3.19,5.31,380.21,0,0,0,2.12,0,1.06,524.65,0,16.99,2.12,0,0,75.4,2.12,0,0,0,1.06,12.74,150.81,0,0,1.06,0,1.06,0,1.06,1.06
 96-106,0,0,8.74,0,27.32,10.93,130.05,66.66,0,6.56,8.74,17.49,501.62,0,1.09,6.56,1.09,1.09,3.28,795.59,0,59.01,1.09,1.09,4.37,264.47,2.19,1.09,4.37,0,0,26.23,155.18,1.09,0,2.19,2.19,1.09,13.11,0,4.37
108-118,0,0,6.13,0,29.11,7.66,247.41,39.06,1.53,4.6,5.36,19.15,546.13,0,0,5.36,1.53,2.3,1.53,1518.14,0,53.62,0,3.06,9.19,208.34,2.3,0.77,2.3,0,0.77,10.72,150.13,0.77,0,3.83,0,0.77,3.06,0.77,2.3
120,1.96,0,1.96,0,37.24,3.92,78.39,29.4,0,1.96,13.72,5.88,435.07,0,0,1.96,0,1.96,0,830.95,0,56.83,5.88,1.96,9.8,164.62,0,1.96,0,0,0,9.8,107.79,1.96,0,0,0,1.96,3.92,1.96,0
