stage,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
 24-34,0,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,22.16,0,0,0,0,0.82,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0,2.42,0,49.95,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,1.15,0,0,2.3,0,44.18,0,0,1.15,0,2.3,0,0.57
 60-70,0,2.94,0,0,0,0,0,0,0,0,1.96,0,0,2.94,0,53,0,0,0,0,0,0,0
 72-82,0,6.87,0,0.98,0,0,0,0.98,0,0,3.93,0.98,0,9.82,0,112.89,0,0,0,0,0.98,0,0
 84-94,0,1.06,0,1.06,0,1.06,0,1.06,0,1.06,1.06,0,0,2.12,1.06,144.44,1.06,0,1.06,0,0,0,0
 96-106,1.09,6.56,1.09,3.28,1.09,2.19,0,2.19,0,0,0,0,0,3.28,0,213.11,0,0,2.19,0,0,1.09,2.19
108-118,0,0.77,0,0.77,0,0,0,2.3,0.77,0.77,4.6,0,0.77,6.13,0,149.36,0,0,2.3,0,0,1.53,0.77
120,0,0,0,0,0,0,1.96,1.96,0,0,3.92,0,1.96,3.92,0,111.71,0,0,0,1.96,0,0,0
