stage,blastomeres,eye,fin.mesenchyme,glial,melanocytes,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0
 10-12,0,0,0,0,0,0,0,0,3.15,6.29,0
 14-21,0,0,0,1,0,0,1,1,0,0,0
 24-34,0,0,0,0,1.64,0.82,0,9.85,0,0,2.46
 36-46,0,0,0,0,0,0.81,0,1.61,0,0,0.81
 48-58,0,0.57,0.57,0,0,0,0,2.87,0,0,1.72
 60-70,0,0,0,0.98,0,0.98,0,1.96,0,0,0.98
 84-94,0,0,0,0,0,1.06,0,1.06,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0,0
