stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,pgc,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,12,0,0,0,0
 24-34,0,0,1.64,0,0,2.46,0,0,0.82,0,0,0,0,0,0,0,0,0,1.64,0,0.82,135.44,3.28,0,0.82,0,53.36,0,0,0,0
 36-46,0,0.81,0,0,0,12.89,0,0,1.61,0,0,0,0,0,0,0,0,0.81,0,0,0,307.77,2.42,0,0.81,0,92.65,0,0,0,0.81
 48-58,0,0,0,0,0,53.36,0.57,0,3.44,0,0,0,0,0,0,0,0.57,0.57,4.02,0,1.72,405.11,4.02,0,0.57,0,81.48,0,0.57,0,0
 60-70,0,0.98,0,1.96,0,133.49,0.98,0.98,3.93,0.98,0,0,0,0,0,0,0,0,1.96,0,0,687.07,1.96,0,0,0,101.1,0,0,0,0
 72-82,0,1.96,0,4.91,0.98,151.18,0,0,6.87,0.98,0,0,0,0,0,0.98,0,0,6.87,0,0,497.7,1.96,0,1.96,0,46.14,0.98,0,0,0.98
 84-94,0,3.19,0,3.19,1.06,74.34,1.06,1.06,9.56,0,0,0,2.12,0,0,0,0,0,6.37,0,2.12,257.01,1.06,0,2.12,0,32.92,1.06,0,1.06,0
 96-106,0,0,0,2.19,0,50.27,0,0,8.74,0,0,1.09,2.19,1.09,1.09,0,0,0,0,0,0,228.4,2.19,0,1.09,1.09,22.95,0,0,2.19,0
108-118,0,3.06,0,2.3,0,40.6,0,0.77,9.19,0,0,0,0,0,0.77,0,0,0,1.53,1.53,0,203.75,3.06,0.77,0,0,10.72,0,0.77,0,0
120,0,0,1.96,3.92,0,54.87,0,1.96,13.72,0,0,0,1.96,0,0,0,0,0,1.96,0,0,280.25,1.96,0,0,0,17.64,0,0,0,0
