stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,16,158,18,0,56,0,0,0,22,3,0,3,1,1,0,0,0,1,89,1,0,78,340,13,1,7,5,0,2,6,7,13,3,34,116,0,0,9,0,4
 24-34,0,0.82,14.78,0.82,0,22.16,0,0,0,16.42,0.82,0,2.46,6.57,1.64,0.82,0,0.82,0,28.73,0,0,13.13,109.99,4.1,6.57,4.1,0,0.82,2.46,0.82,0,4.1,0,2.46,44.33,0,0,6.57,0,0.82
 36-46,0,0,13.7,0.81,0,24.98,0,0,0.81,25.78,0,0.81,12.09,16.92,0.81,1.61,0.81,1.61,0.81,78.96,0,4.03,20.95,176.44,8.06,12.89,3.22,0,0.81,3.22,2.42,0,8.06,0,0,74.93,0,0,13.7,0,0
 48-58,0,0,2.87,0.57,0,13.77,0,0,1.72,21.23,0,10.9,1.72,17.21,0.57,0.57,1.72,1.15,0.57,27.54,0,1.72,4.59,76.89,2.87,12.05,2.87,0,0,1.15,0,0,1.15,0.57,0,25.82,0,0,4.59,0,0
 60-70,0.98,0,14.72,0,0,42.21,0,6.87,10.8,82.45,0,1.96,6.87,16.69,1.96,0.98,7.85,2.94,0,202.19,0.98,7.85,21.59,127.6,2.94,18.65,17.67,0,1.96,3.93,0,0,0.98,0,0,55.95,0,4.91,9.82,1.96,0
 72-82,0,0,13.74,7.85,0,60.86,0,0,6.87,134.49,0.98,0,3.93,25.52,4.91,1.96,15.71,0,0,193.39,0.98,3.93,15.71,199.28,0.98,27.49,18.65,0,0,0.98,0,0,0.98,0,0,68.72,0.98,3.93,14.72,2.94,0
 84-94,1.06,0,23.36,13.81,2.12,56.29,0,5.31,5.31,77.53,1.06,3.19,4.25,48.85,5.31,5.31,13.81,2.12,0,154,1.06,1.06,7.43,117.89,0,22.3,27.61,0,0,9.56,0,0,4.25,0,0,44.61,0,3.19,12.74,1.06,1.06
 96-106,4.37,0,132.23,10.93,6.56,131.14,2.19,22.95,14.21,217.48,14.21,1.09,26.23,53.55,9.84,5.46,25.14,5.46,1.09,516.92,9.84,18.58,29.51,272.12,8.74,34.97,53.55,0,7.65,16.39,0,0,6.56,0,0,57.92,5.46,10.93,66.66,16.39,3.28
108-118,1.53,0,157.02,7.66,25.28,134.81,1.53,26.81,15.32,222.13,7.66,0.77,16.09,48.26,8.43,19.15,13.79,4.6,2.3,546.13,7.66,11.49,51.32,391.41,14.55,33.7,49.02,0,3.83,13.79,0,0,9.96,1.53,0,58.98,16.85,16.09,61.28,13.79,7.66
120,1.96,0,158.74,17.64,5.88,105.83,1.96,25.48,9.8,213.62,5.88,0,11.76,66.63,7.84,15.68,29.4,5.88,5.88,493.87,5.88,17.64,48.99,466.43,9.8,29.4,52.91,0,7.84,48.99,0,0,1.96,0,0,41.16,3.92,19.6,68.59,9.8,5.88
