stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,59,17,4,0,0,0,0,0,45,0,0,0,0
 24-34,0,0,1.64,0,1.64,0,7.39,0,0,0.82,2.46,0,0,0,0,0,0,0,0,1.64,0,0,0.82,392.37,52.53,18.06,6.57,0,0,1.64,0,150.22,0,0,0,0
 36-46,0,0,1.61,0,0,0,79.76,0,0,0,9.67,0,0,0,0.81,0.81,0,0.81,0,3.22,0,0,0.81,882.21,49.15,20.14,4.03,0,0,2.42,0.81,186.92,0,0.81,0,0
 48-58,0,0,1.15,0,4.02,0,267.39,1.15,0.57,0.57,43.61,0.57,0.57,0,0,0,1.15,0,0,9.75,0,0,3.44,990.96,32.13,8.03,5.16,0,0,0.57,0.57,195.09,0,1.15,0,2.87
 60-70,0,0,0.98,0,2.94,0.98,531,0,0,0,34.35,0,0,0,0,0.98,6.87,0,0,9.82,0.98,0,1.96,1014.89,16.69,9.82,9.82,0,0,1.96,0,132.51,0,0,0.98,1.96
 72-82,0,0,3.93,0,3.93,1.96,539.91,0,0,1.96,40.25,0.98,0,0,0,0,18.65,0.98,0.98,21.6,0,0.98,0.98,912.95,21.6,27.49,35.34,0,0.98,3.93,0,59.88,1.96,1.96,0.98,3.93
 84-94,0,0,5.31,0,7.43,2.12,315.43,1.06,0,2.12,43.54,3.19,0,3.19,0,2.12,7.43,0,0,19.12,0,1.06,2.12,434.37,20.18,10.62,40.36,0,0,4.25,0,44.61,2.12,2.12,0,2.12
 96-106,1.09,0,3.28,0,9.84,1.09,239.33,1.09,0,2.19,33.88,3.28,0,0,2.19,0,31.69,2.19,0,17.49,0,0,0,358.45,7.65,21.86,57.92,0,1.09,4.37,0,21.86,1.09,0,2.19,1.09
108-118,0,0,3.83,0,5.36,1.53,171.58,0,0,1.53,22.21,0.77,0,0,0,0.77,15.32,0,0,9.19,0.77,1.53,1.53,401.36,15.32,13.79,36,0,0.77,4.6,0.77,10.72,3.06,0.77,1.53,0.77
120,0,0,1.96,0,7.84,1.96,174.42,1.96,0,1.96,29.4,0,0,1.96,0,1.96,19.6,0,0,3.92,1.96,0,3.92,446.83,21.56,21.56,45.08,0,0,0,0,29.4,0,0,1.96,0
