stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,0,15.77,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,20,0,1,0,4,0,0,3,3,0,0
 24-34,0,0,0,0.82,0,9.03,0,0.82,3.28,0,0,0.82,0,0,0,5.75,0.82,0,0.82,35.3,0,0,0,0,0,0,0.82,3.28,0,0.82
 36-46,0,0,0,2.42,0,5.64,0.81,0,1.61,0,0,0,0.81,0,0,3.22,2.42,0,0.81,23.36,0,0,2.42,0,0,0,0,4.83,0,0
 48-58,0,0,0,1.15,0,8.03,0,0.57,1.15,0.57,0.57,0,0.57,0,0.57,3.44,0,0.57,0.57,11.48,0,0,0,0,0,0,0,4.02,0,0
 60-70,0,0,0,0.98,0,8.83,0,0,3.93,0,0,0,0,0,0,0.98,1.96,0,0,13.74,0,0,0,0,0,0.98,0,0.98,0.98,0
 72-82,0,0,0,0,0,1.96,0,0,0.98,0.98,0,0,0,0,0,2.94,2.94,0,0,11.78,0.98,0,0.98,0,0,0,0,0.98,0,0.98
 84-94,0,0,0,1.06,0,4.25,0,0,0,1.06,0,0,0,0,0,0,3.19,0,0,3.19,0,0,1.06,0,1.06,0,0,1.06,0,0
 96-106,0,0,0,0,0,2.19,0,0,1.09,0,0,0,0,1.09,0,1.09,4.37,0,1.09,2.19,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0.77,0,0,0.77,0,0,0,0,0,0,1.53,0.77,0,2.3,0,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,1.96,0,1.96,0,0,5.88,1.96,1.96,0,0,0,0,1.96,0,0,0,3.92,0,0,0,0,0,0,0,1.96,0,0
