stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,18.88,0,0,0,3.15,0,28.32,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,815.07,3.15,0,0,15.73,0,0,3.15,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,1,2,10,4,0,13,0,0,0,117,2,0,1,0,0,0,0,1,4,0,0,3,2500,4,0,0,1,0,0,2,0,0,1,1070,0,0,0,0,0
 24-34,0,0.82,0.82,5.75,2.46,0,22.98,0,0,0,90.29,1.64,0,0,0.82,0,0,1.64,0,7.39,0,0,1.64,4361.21,0,0,0.82,0,0,4.93,1.64,0,0.82,2.46,1139.35,0,0,0,0,0.82
 36-46,0,0,0,4.83,1.61,0,41.09,0,0,0,136.16,0,2.42,0,0,0.81,0,1.61,0,10.47,0,0,2.42,4537.53,0,1.61,4.03,0,0,3.22,0,0,0,0,1393.81,0,0,2.42,0,4.03
 48-58,0,0,0,8.61,0,0,98.12,1.15,1.15,1.15,185.34,0.57,0,0,1.15,0.57,0.57,0.57,2.87,23.53,0.57,0.57,3.44,3439.96,0.57,0.57,1.15,0,0,1.15,0,0.57,0.57,0,858.99,0,0,2.3,0,1.15
 60-70,0,0,0,5.89,0,0,57.91,0.98,0,1.96,178.64,0,0,0.98,0,1.96,0.98,0,0.98,29.45,0,0,1.96,2892.55,0,0.98,4.91,0,0,2.94,0,0,0,0,436.78,0,0,1.96,0,1.96
 72-82,0,0.98,0,16.69,4.91,0,182.59,0,0.98,0,196.33,1.96,0,0.98,0,1.96,0.98,0,0,62.83,0,0.98,6.87,2345.19,0,4.91,5.89,0,0,5.89,0,0,0,0,252.29,0,0,1.96,1.96,2.94
 84-94,0,0,0,19.12,2.12,0,199.66,0,2.12,0,132.75,2.12,0,1.06,0,2.12,0,0,0,37.17,1.06,8.5,1.06,1269.13,2.12,1.06,2.12,0,1.06,4.25,0,1.06,0,0,159.31,0,1.06,1.06,1.06,2.12
 96-106,0,0,0,21.86,1.09,1.09,107.1,2.19,1.09,2.19,134.42,2.19,1.09,1.09,0,1.09,1.09,1.09,0,36.06,0,1.09,2.19,926.73,0,1.09,1.09,0,0,3.28,0,1.09,0,0,57.92,1.09,0,1.09,2.19,3.28
108-118,0,0.77,0,13.79,2.3,0.77,56.68,0,0.77,1.53,94.21,2.3,0,3.83,0,0,0,1.53,0,13.79,0.77,3.83,1.53,1141.28,0,1.53,5.36,0,0,3.06,0,0,0,0,36,0,0.77,0.77,0,0
120,0,0,0,15.68,1.96,0,105.83,0,1.96,1.96,99.95,0,0,0,0,0,1.96,1.96,0,21.56,0,0,1.96,999.49,0,0,3.92,0,0,1.96,0,0,0,0,29.4,0,0,0,0,0
