stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,2.46,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,2.3,0,0,0
 60-70,0,0.98,0,1.96,0.98,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,2.94,0,0,0,0,0.98,0,0,0.98,0,0,1.96,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,1.06,0,0,0,0,1.06,0,0,0
 96-106,0,1.09,1.09,0,1.09,0,1.09,0,0,0,0,2.19,1.09,0,2.19,0,0,0
108-118,0.77,0,0.77,0,0,0.77,2.3,0,2.3,0,0.77,0,0,0,0,0.77,0,0.77
120,0,0,0,0,0,0,3.92,1.96,0,0,1.96,0,0,0,3.92,0,0,1.96
