stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,immune,iridophores,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,10.51,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,14,0,13,0,0,0,0
 24-34,0,0,0,0.82,0,3.28,0,0,0,0,0.82,0,6.57,19.7,1.64,0,0,0,13.13,0.82,9.85,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,8.06,29.81,0.81,0,0,0,12.89,0,19.34,0,0,0,0
 48-58,0,0,0,0.57,0,1.15,0,0,0,0.57,0,0,6.89,21.23,0.57,0,0,0,3.44,0,20.08,0,0.57,0,0
 60-70,0,0,0,4.91,0.98,4.91,0,0,0,1.96,0,0,3.93,27.48,3.93,0,0,0,3.93,0,24.54,0,0,0,0
 72-82,0,0,0,17.67,0,12.76,0,0,0,2.94,0,0,8.83,45.16,4.91,0,0,0,0.98,0,25.52,0.98,0,0,0
 84-94,0,0,0,11.68,0,11.68,0,1.06,0,2.12,0,0,5.31,45.67,10.62,0,0,0,5.31,0,4.25,0,0,0,0
 96-106,0,3.28,0,16.39,0,14.21,0,0,1.09,6.56,0,0,7.65,72.13,17.49,0,1.09,0,3.28,0,7.65,0,0,1.09,1.09
108-118,0,0,0.77,11.49,0,15.32,0,0.77,0,3.83,1.53,0.77,15.32,52.09,15.32,0,0,0,3.06,0,4.6,0,0,0,0
120,0,0,0,9.8,0,5.88,0,0,0,3.92,1.96,0,5.88,21.56,7.84,0,0,0,3.92,0,11.76,0,0,0,0
