stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,15.73,6.29,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,3,0,0,3,1,0,0,0,0,0,14,0,4,20,0,0,0,1,0,1,1,13,0,0,2,0
 24-34,0,0,0,0,0,1.64,0,0,0.82,0,0,0.82,0,0,0.82,26.27,0.82,8.21,35.3,0,0,1.64,0,0,0,0,11.49,0,0,1.64,0
 36-46,0,0,0,0,0.81,8.06,0,0,1.61,0,1.61,0,0,0,0,22.56,0.81,4.03,42.7,0.81,0,0.81,0,0.81,0,0,10.47,0,0,3.22,0
 48-58,0.57,0,0,0,0,7.46,0,0.57,4.02,0,0,0,0,0,0,29.26,1.15,2.3,38.44,0,0,1.15,0,0,0,0,7.46,0,1.15,1.72,0
 60-70,0,0,0.98,0,0,25.52,0,0,3.93,0,0,0,0,0,0,48.09,4.91,1.96,53,0,2.94,1.96,0,0,0,0,1.96,0,1.96,0.98,0.98
 72-82,0,0,0,0,0.98,30.43,0,0,5.89,0,0,0,0,0,0,67.73,3.93,2.94,54.97,0,0,2.94,0,0.98,0,0,3.93,0,4.91,10.8,0.98
 84-94,0,0,0,0,5.31,26.55,0,0,10.62,1.06,0,0,3.19,1.06,0,44.61,4.25,4.25,33.99,0,0,2.12,0,0,0,0,7.43,0,1.06,6.37,0
 96-106,0,0,0,0,2.19,26.23,1.09,2.19,4.37,0,0,0,0,1.09,0,52.46,6.56,1.09,29.51,0,0,3.28,0,1.09,0,0,0,0,1.09,8.74,0
108-118,0,0,0,0,0.77,12.26,0,0.77,7.66,0,0,0,0.77,0.77,0,38.3,6.13,1.53,31.4,0,0.77,1.53,0,0,0.77,0,1.53,0.77,0.77,4.6,1.53
120,0,0,0,0,0,11.76,0,0,5.88,0,0,0,0,0,0,43.12,7.84,0,33.32,0,0,0,0,1.96,0,0,0,0,1.96,7.84,0
