stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,7.89,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,26.29,2.63,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,22.03,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.97,9.44,0,28.32,3.15,0,0,9.44,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,8,8,69,0,0,0,0,0,1,1,2,0,1,0,0,8,0,3,0,0,4,17,0,0,0,3,0,1,0,42,8,4,0,0,77,0,0
 24-34,0,0,0,0,0.82,9.03,3.28,20.52,0,0,0,0,0,10.67,0.82,0.82,0,0,11.49,0.82,10.67,0,0,11.49,38.58,1.64,0,0,0.82,0,0,1.64,20.52,7.39,11.49,0,0,238.87,0,0
 36-46,0,0,0,0,0,1.61,11.28,27.39,0,0.81,0.81,0,0,5.64,0,0,7.25,0,2.42,6.45,5.64,0,0,5.64,30.62,9.67,0,0,3.22,0,0,0,6.45,0.81,8.06,0,0,107.15,0,0.81
 48-58,0,0,0,0,1.72,0,24.1,29.26,0,0.57,4.02,0,0,10.33,0,0,12.05,0,1.15,6.31,14.35,0,1.15,5.74,35.58,5.16,0.57,0,2.3,0,0,0,6.89,0,7.46,0,0,98.12,0,0.57
 60-70,0,0,0,0,2.94,3.93,12.76,16.69,0.98,0.98,3.93,0,0,12.76,0,0.98,24.54,0,1.96,1.96,16.69,0,0.98,5.89,15.7,6.87,0.98,0.98,1.96,0,0,0.98,7.85,0,0.98,0,0,77.54,0.98,0
 72-82,0,0,0,0,0,0.98,19.63,12.76,0,0,3.93,0,0,6.87,0,0,24.54,0.98,1.96,2.94,19.63,0,0,1.96,25.52,3.93,1.96,0,2.94,0,0,0,1.96,0,1.96,0,0.98,156.08,2.94,0.98
 84-94,0,0,0,0,1.06,1.06,10.62,19.12,0,0,4.25,0,0,3.19,1.06,0,40.36,0,0,2.12,18.05,0,0,6.37,8.5,9.56,3.19,0,2.12,0,0,0,3.19,0,1.06,0,0,152.93,9.56,0
 96-106,0,0,1.09,0,2.19,4.37,19.67,20.76,1.09,2.19,12.02,0,0,9.84,2.19,0,26.23,0,3.28,2.19,13.11,1.09,0,3.28,22.95,6.56,0,1.09,4.37,0,0,1.09,2.19,0,0,0,0,146.44,8.74,1.09
108-118,0,0,0,0,1.53,3.06,11.49,13.02,0,0,6.89,0,0,3.83,0.77,0.77,54.38,0.77,1.53,4.6,12.26,0,0,8.43,15.32,2.3,3.06,0,0,0.77,0,0.77,8.43,0,0.77,0.77,2.3,104.94,5.36,0.77
120,0,0,0,0,0,3.92,5.88,17.64,0,0,11.76,1.96,0,3.92,1.96,0,15.68,0,1.96,5.88,5.88,0,0,1.96,15.68,5.88,3.92,0,3.92,0,0,0,1.96,0,0,0,1.96,103.87,1.96,0
