stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,2,0,0,0,0,0,6,0,0,0,0,0
 24-34,0,0,5.75,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,1.64,0,0,1.64,40.22,0.82,0,0,0,0.82,0.82,15.6,0,0,1.64,0,0
 36-46,0.81,0,8.86,0,0,2.42,0.81,0.81,0,2.42,0,0,0,0.81,0,0,0.81,0.81,0,0,0.81,124.07,0.81,0,0,2.42,0,0,22.56,0,0,1.61,0,0
 48-58,0,0,21.23,0,0,9.75,0.57,1.15,0,1.72,0,0,0,0.57,0,0.57,1.15,4.02,0.57,0,1.15,142.88,1.15,0,0,1.15,0,0,26.4,0,0,2.3,0,0.57
 60-70,0,0,99.13,0,0,41.22,0,3.93,0,8.83,0.98,0,0,0,0,0,0,5.89,2.94,0.98,0,223.79,0.98,0,0,0.98,0,0,33.37,0,0,1.96,0,0
 72-82,0,0,107,0,0,40.25,0,0,0,12.76,0,0.98,0.98,0.98,0,0,0.98,11.78,0.98,0,0.98,128.6,2.94,0,0,1.96,0,0,8.83,0,0.98,0,0,0
 84-94,0,0,368.53,0,0,31.86,0,10.62,0,8.5,2.12,0,0,7.43,0,0,1.06,3.19,4.25,2.12,0,64.78,1.06,1.06,0,4.25,1.06,0,9.56,0,0,0,1.06,0
 96-106,0,0,239.33,1.09,0,15.3,0,8.74,0,7.65,2.19,0,0,1.09,0,0,1.09,8.74,1.09,0,2.19,40.44,4.37,0,0,2.19,1.09,0,3.28,0,1.09,1.09,0,2.19
108-118,0,0,320.94,0,0.77,13.02,0,14.55,0.77,6.13,2.3,0,0,2.3,0.77,0.77,0.77,3.06,3.83,1.53,0,44.43,0.77,0,0,0.77,2.3,0,1.53,0.77,0,1.53,0.77,3.06
120,0,0,227.34,0,0,9.8,0,15.68,0,7.84,1.96,0,0,1.96,0,1.96,0,1.96,3.92,1.96,0,27.44,1.96,0,1.96,0,1.96,0,0,0,0,0,0,1.96
