stage,axial,blastomeres,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,23.66,0,7.89,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,6.29,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,0.82,2.46,0.82,0.82,4.1,0,0,40.22,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,9.67,0,0,55.59,1.61,0,0
 48-58,0,0,0,0,1.72,0,0,0,0,0,0,0,0,0,2.3,0,0,21.23,0.57,0,0
 60-70,0,0,0,0,1.96,0.98,0,0,0,0,0.98,0.98,0,0,3.93,0,0,64.78,0,0,0
 72-82,0,0,0,0,0.98,0,0,0.98,0,0.98,0,0,3.93,0,4.91,0.98,0,17.67,0,0.98,0
 84-94,0,0,0,1.06,0,0,0,2.12,0,0,0,0,3.19,0,3.19,0,0,48.85,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,1.09,0,0,4.37,0,0,5.46,0,0,0
108-118,0,0,2.3,0,1.53,0,0,3.83,0,0,0.77,0,0,0,2.3,0.77,0,13.79,0,0,0.77
120,0,0,7.84,0,0,1.96,1.96,23.52,0,0,0,0,1.96,0,13.72,0,0,43.12,0,0,0
