stage,blastomeres,eye,glial,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pronephros,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,3.15,0,0,3.15,0,0
 14-21,0,0,9,0,2,1,3,0,0,2,0,6,16
 24-34,0,0.82,3.28,0,0,0,3.28,0,0,0,0,7.39,5.75
 36-46,0,0,3.22,0,0,0,7.25,0.81,1.61,0,0,3.22,3.22
 48-58,0,1.15,1.15,0,0,0,0.57,0,0.57,0,0,1.72,0.57
 60-70,0,0.98,1.96,0,0.98,0,0.98,0.98,1.96,0,0,0,1.96
 72-82,0,2.94,2.94,0,0,0,0,0,1.96,0.98,0,0.98,0
 84-94,0,2.12,1.06,0,0,0,1.06,0,1.06,0,0,0,0
 96-106,0,1.09,2.19,1.09,0,0,2.19,0,1.09,0,0,0,0
108-118,0,0.77,0.77,1.53,0,0,0,0,1.53,0,0,1.53,1.53
120,0,1.96,0,0,0,0,0,0,0,0,0,1.96,1.96
