stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,3,57,24,19,0,0,0,10,1,0,0,2,0,0,2,0,24,1,0,21,292,7,0,5,9,4,0,47,4,6,54,164,0,0,5,0
 24-34,0.82,9.85,1.64,55.82,0,0.82,0,14.78,0,0,0,0.82,0,0.82,1.64,0,28.73,0,0,13.95,429.31,0.82,2.46,9.03,0,13.13,0,0,0,0,4.1,105.07,0,0,3.28,1.64
 36-46,0,1.61,0,107.96,0,0,0,14.5,0.81,0.81,0,0,0,0,0.81,0,20.14,0,0,6.45,214.31,0.81,0,1.61,0,6.45,0.81,0,0,0,0,79.76,0,0,1.61,0
 48-58,0,1.72,0,117.63,0,0,0.57,11.48,0,0,0.57,0.57,0,0,0,0,39.59,0,1.15,3.44,116.48,0.57,1.72,1.15,0,3.44,0,0,0.57,0,0,33.28,0,0,1.72,0
 60-70,0,2.94,0,141.34,0,0.98,1.96,21.59,0,0,0,0,0,0.98,0,0.98,32.39,0,0,1.96,64.78,0,0,0.98,0,1.96,0,0,0,0,0,6.87,0.98,0,1.96,0
 72-82,0,0,0,43.19,0,0,0,14.72,0.98,0,0,0,0,1.96,0,0,33.38,0,0,5.89,46.14,0,0.98,0.98,0,5.89,0,0,0,0,0,1.96,0,0.98,1.96,0
 84-94,0,1.06,0,46.73,0,1.06,1.06,2.12,0,0,0,0,1.06,2.12,0,0,29.74,0,0,5.31,36.11,0,0,4.25,0,4.25,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,5.46,0,29.51,0,0,1.09,6.56,1.09,0,1.09,0,0,0,0,0,17.49,1.09,0,7.65,20.76,0,0,3.28,0,7.65,0,0,0,1.09,0,4.37,0,1.09,2.19,1.09
108-118,0,4.6,0,28.34,0.77,0,0,9.96,0,0,0,0,0,0.77,0,0,14.55,0,0.77,6.13,29.87,0,0,3.06,0,9.96,0,0,0,0.77,0,0.77,0,0,0,0
120,0,3.92,0,35.28,0,0,0,7.84,0,0,0,0,0,3.92,0,0,15.68,0,3.92,5.88,15.68,0,1.96,0,0,7.84,0,0,0,0,0,0,0,0,0,0
