stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,glial,mural.cell,muscle,neural,pronephros,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,6.29,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,3,0
 24-34,0,0,0,0,0,0,0,0,0,1.64,0,3.28,0
 36-46,0,0,0,0,0,0.81,0,0.81,0,14.5,0,1.61,0
 48-58,0,0,0,0,2.3,0,1.15,0,0,20.08,0,3.44,0
 60-70,0,0,0,0,10.8,0,0,0,0,40.24,0,2.94,0
 72-82,0,0,0,0.98,23.56,0,1.96,0,0,28.47,0,1.96,0
 84-94,0,0,0,0,7.43,0,0,0,0,24.43,0,3.19,0
 96-106,0,1.09,0,0,14.21,0,1.09,0,0,12.02,0,0,0
108-118,0,0,0,0,9.19,0,0,0,0,15.32,0.77,0.77,0.77
120,0,0,0,0,7.84,0,0,0,0,13.72,0,0,0
