stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,129.7,0,0.82,0,17.24,0,0,0,0,0,9.85,0,0,0,0,0,0.82,0.82,0,1.64,7.39,0.82,0.82,0,0,0.82,0,0,2.46,0,0,0,0,0.82
 36-46,0,0,156.3,0,0.81,0,22.56,0,0.81,0,0,0,9.67,0,0,0,0,0.81,2.42,0.81,0,0,9.67,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0
 48-58,0,0,107.3,0,2.3,0,29.84,0,0.57,0,0,0,5.16,0.57,0,0,0,0,4.59,1.72,0.57,1.15,12.05,0.57,0.57,0,0,1.72,0,0,1.15,0,0,0,0,0
 60-70,0,0,127.6,0,3.93,0.98,29.45,0,0,0.98,0,0,9.82,0,0.98,0,0,0,20.61,0,0.98,0.98,11.78,0,3.93,0,0,2.94,0,0,0,0,0,0,0,0
 72-82,0,0,160.99,0,2.94,0.98,44.17,0,0,0,0.98,0.98,6.87,2.94,0,0,0,0,17.67,1.96,0,0.98,10.8,0,8.83,0.98,0.98,3.93,0,0,0,0.98,0,1.96,0.98,0
 84-94,1.06,0,362.15,0,4.25,0,91.34,2.12,0,1.06,0,0,8.5,4.25,0,1.06,0,0,18.05,3.19,3.19,1.06,8.5,0,3.19,0,0,7.43,0,0,1.06,0,1.06,0,1.06,0
 96-106,0,0,320.2,1.09,2.19,1.09,65.57,1.09,3.28,3.28,0,1.09,16.39,5.46,1.09,1.09,1.09,0,38.25,6.56,2.19,4.37,24.04,0,10.93,1.09,1.09,18.58,1.09,0,1.09,0,1.09,3.28,1.09,1.09
108-118,0,0,368.43,0.77,4.6,6.13,105.7,1.53,2.3,4.6,0,0.77,7.66,2.3,0,0,0,0,32.94,1.53,4.6,0.77,18.38,0,6.13,1.53,0.77,16.85,0,0,0,0.77,0.77,3.83,2.3,0
120,1.96,0,205.78,0,1.96,9.8,66.63,1.96,0,9.8,0,1.96,25.48,1.96,0,1.96,0,0,5.88,3.92,3.92,0,17.64,0,1.96,0,0,9.8,0,0,0,0,0,1.96,0,0
