stage,axial,blastomeres,endoderm,erythrocytes,eye,glial,hatching.gland,heart,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,92.25,1106.95,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0
  5-6,73.56,1268.83,0,0,0,0,24.52,0,0,0,36.78,12.26,0,24.52,0,0,0,0,0
  7-9,34.17,31.54,23.66,0,94.63,0,52.57,0,0,0,762.33,15.77,297.04,0,0,0,0,0,0
 10-12,0,53.5,31.47,12.59,132.17,0,31.47,0,0,0,1044.79,34.62,440.58,6.29,3.15,44.06,6.29,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,2.46,0,0,0,0,0,0,1.64,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.15,1.72,0,0,1.15,0,1.72,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,3.28,0,1.09,2.19,1.09,0,0,0,0,0,0,0,0,0
