stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,16,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,193.72,0,4.93,0.82,0,0,0,0,40.22,0,0,0.82,0,0
 36-46,0,0,0.81,0,7.25,0,0,0,0,0,0.81,0,0,0,0.81,3.22,0,0.81,457.62,0,13.7,0,0,2.42,0,0,85.4,0,0,0,0,0
 48-58,0,0,2.3,0,58.53,0,0.57,0.57,4.59,0,0,0,0.57,1.15,0,5.16,0,1.15,671.35,0,8.61,0,0,0,0,0,104.43,0,0,1.15,0,0
 60-70,0,0,1.96,0.98,106.99,0.98,0.98,0,5.89,0,0,0,0,0,0,7.85,0,1.96,1013.91,0,7.85,0,0,3.93,0.98,0,100.12,0,0.98,0,0,0
 72-82,0,0.98,7.85,2.94,141.36,0,0,0,17.67,0.98,0.98,0,0,0,0,8.83,0.98,0.98,852.08,0,13.74,0.98,0.98,2.94,0,0,88.35,0,0.98,0.98,0.98,2.94
 84-94,0,1.06,7.43,2.12,91.34,1.06,1.06,3.19,19.12,0,0,0,1.06,0,1.06,10.62,1.06,2.12,385.52,0,6.37,1.06,0,0,0,0,40.36,0,0,0,0,0
 96-106,0,0,2.19,0,79.78,0,0,1.09,14.21,1.09,0,0,0,0,0,14.21,1.09,1.09,306,1.09,9.84,0,1.09,3.28,0,1.09,19.67,1.09,1.09,1.09,0,0
108-118,0,0,2.3,0.77,62.04,0,0,0,8.43,0.77,0,0.77,0,0,0.77,3.83,0,0,363.07,0,6.89,0,0,2.3,0,0,16.09,0,0,0,0.77,0
120,0,3.92,7.84,1.96,52.91,1.96,0,1.96,5.88,0,0,1.96,0,0,0,9.8,1.96,0,372.36,0,1.96,0,0,3.92,0,0,15.68,0,0,0,0,0
