stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vasculature
  3-4,39.53,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,2.63,0,0,0,2.63,0,0,0,5.26,0,0,0,42.06,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,9.44,0,0,0,0,0,0,0,141.61,3.15,0,15.73,0,0,3.15,0,6.29,0
 14-21,0,0,3,0,0,2,0,2,0,2,0,0,0,1,0,26,0,0,0,0,1,0,0,53,0
 24-34,0,0,4.1,0,0.82,0,0,0,0,0.82,0,0,0.82,0,0,7.39,0,1.64,0,0,0,0,0,5.75,0
 36-46,0,0,7.25,0,0,0,0,0.81,0,0.81,0,0,0,0,0,7.25,0,2.42,0,0,0,0,0,3.22,0
 48-58,0,0,3.44,0,0.57,0,0,2.87,0,0,0,0,0,0.57,0,6.89,0,2.87,0,0,0,0,0.57,0.57,0
 60-70,0,0,0.98,0,0,0,0,0,0,0.98,0,0,0,0,0.98,8.83,0,5.89,0,1.96,0,0,0,0,0
 72-82,0,0,2.94,0,0,0,0,1.96,0.98,0,0,0,0,0.98,0,7.85,0,9.82,0,0,0,0,0,0,0
 84-94,0,0,3.19,0,0,0,0,3.19,0,0,1.06,0,0,0,0,6.37,0,6.37,0,0,0,0,0,0,1.06
 96-106,0,0,3.28,0,1.09,0,0,5.46,0,0,1.09,0,0,1.09,0,5.46,0,16.39,0,0,0,0,0,1.09,0
108-118,0,0,2.3,0,0,0,0.77,4.6,0,0.77,0,0,0,0.77,0,10.72,0,11.49,0,0,0,0,0,0,0
120,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0,0,11.76,0,15.68,0,0,0,0,0,0,0
