stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,0,43,14,0,30,0,1,0,9,1,3,0,1,2,0,0,0,0,27,0,0,18,296,17,2,1,6,0,9,3,20,2,23,110,0,0,0,0
 24-34,0.82,0.82,13.13,8.21,0,97.68,1.64,0,0,8.21,0,0,0.82,1.64,1.64,2.46,2.46,0,0,67.31,0.82,0,20.52,595.94,3.28,6.57,5.75,0,0,17.24,0,0,1.64,0.82,100.97,0,9.03,0,0.82
 36-46,0,0,4.83,0,0,182.89,0,0,0,10.47,0,0,0.81,1.61,0.81,1.61,0,1.61,0,47.53,0,0,8.86,345.63,1.61,0,1.61,0,0,8.86,0,0,0.81,0,68.48,0,2.42,0,1.61
 48-58,0,0,5.16,4.59,0,214.03,0,1.72,2.87,13.2,0,0,0,1.72,0,0,0,0.57,0.57,42.46,0,5.74,8.61,210.01,1.15,1.72,0.57,0,0,1.72,0,0,0,0,40.17,0,5.74,0,1.15
 60-70,0,0,7.85,1.96,0,173.73,0.98,1.96,0.98,19.63,0.98,0,0,0,0,0,0.98,0,0,57.91,0,1.96,13.74,159.01,0,0,0.98,0,0.98,2.94,0,0,0.98,0,17.67,0,2.94,0,0.98
 72-82,0,0,5.89,3.93,0,79.51,0,0,1.96,24.54,0.98,0,0,0,1.96,0,0,0,0,49.08,0,0.98,10.8,111.91,0,0.98,2.94,0,0,2.94,0,0,0.98,0,2.94,0,5.89,0.98,0
 84-94,0,0,5.31,0,0,71.16,0,0,0,9.56,1.06,0,0,3.19,1.06,1.06,0,1.06,0,35.05,0,5.31,8.5,62.66,0,1.06,3.19,0,0,0,0,0,0,0,3.19,0,5.31,0,0
 96-106,0,0,6.56,2.19,1.09,27.32,0,0,0,9.84,4.37,0,0,2.19,0,0,0,1.09,0,26.23,0,0,8.74,63.39,0,0,0,0,1.09,4.37,0,0,0,0,0,1.09,4.37,1.09,0
108-118,0,0,5.36,5.36,0.77,32.17,0.77,0,0,11.49,0,0,0,1.53,0,0,1.53,3.06,1.53,14.55,0,0.77,5.36,69.7,0,0.77,2.3,0,0.77,1.53,0,0,0.77,0,0.77,1.53,1.53,0,0
120,0,0,3.92,7.84,0,25.48,0,1.96,0,7.84,0,0,0,3.92,0,0,0,1.96,0,7.84,0,0,1.96,62.71,1.96,0,5.88,0,0,1.96,0,0,0,0,1.96,0,0,0,1.96
