stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,0,0,3.28,0.82,0,0,0,1.64,2.46,0,0,41.86,0.82,0,0,0,0,0.82,0,63.21,6.57,0,0,0,0,3.28
 36-46,0,0,4.03,0,0,0.81,0.81,0,2.42,0,0,0,2.42,1.61,0,0,0,0,4.03,0,0,67.68,0,1.61,0,0,0,3.22,0,36.26,24.17,0,0,0.81,0,2.42
 48-58,0,0,3.44,0,0,3.44,0,0,0,0,0,0,4.02,1.15,0.57,0,0,8.03,2.87,0,1.15,48.2,0,0,0,0,0,34.43,0,20.08,14.92,0,0,0.57,0.57,4.02
 60-70,0,0,5.89,0,0,0.98,0.98,0,0.98,0,0.98,0,15.7,0.98,0.98,1.96,0.98,13.74,4.91,0.98,3.93,41.22,0,0,0.98,0,0,58.89,0,15.7,12.76,1.96,0,0.98,0.98,5.89
 72-82,0,0,4.91,0,0,8.83,1.96,0,0.98,4.91,0,0,10.8,4.91,0.98,0,0,32.39,18.65,1.96,1.96,70.68,0,0,0.98,0,0.98,22.58,0.98,17.67,5.89,4.91,2.94,0.98,9.82,2.94
 84-94,0,0,18.05,0,0,6.37,3.19,1.06,1.06,5.31,1.06,0,38.23,5.31,2.12,1.06,1.06,26.55,12.74,0,4.25,41.42,0,0,0,0,0,52.04,0,18.05,4.25,4.25,0,3.19,7.43,4.25
 96-106,0,1.09,7.65,1.09,1.09,6.56,2.19,0,10.93,14.21,0,0,34.97,9.84,1.09,3.28,2.19,19.67,12.02,4.37,2.19,40.44,0,0,1.09,0,1.09,20.76,0,25.14,1.09,3.28,5.46,1.09,14.21,8.74
108-118,0,0,18.38,0,0,6.89,2.3,0.77,9.96,12.26,0,0,29.87,6.13,1.53,0,4.6,27.57,5.36,1.53,0,32.17,0,0,0,0,1.53,31.4,0,10.72,0,16.09,0.77,1.53,8.43,6.13
120,0,0,15.68,1.96,0,1.96,0,0,9.8,1.96,0,1.96,45.08,3.92,1.96,0,0,15.68,5.88,3.92,1.96,62.71,0,1.96,0,0,0,21.56,0,7.84,1.96,3.92,5.88,3.92,9.8,1.96
