stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,10.51,0,0,0,0,0,0,0,0,0
 14-21,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,1,1,0,0,0,0,0
 24-34,0,0.82,12.31,0,0,0,7.39,0,0.82,0,0,0,0,0,0,0.82,0,3.28,0,0,0,15.6,0,0,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,4.83,0,0,0,3.22,0,0.81,0,0,0,0,0,0,1.61,0,5.64,0,0,0,111.99,0,0,0,0,0,0,8.86,0,0,0,0,0
 48-58,0,0.57,1.72,0,4.59,0,4.02,0,6.89,0,0,0.57,0,0,0,2.3,0,6.31,0,0.57,1.72,105.58,0,0,0,0,0.57,0,9.18,0,0,0,0,0
 60-70,0,0,3.93,0,5.89,0.98,3.93,0,16.69,0,0,0,0,0,0,4.91,0,12.76,0,0,0,182.56,0,0.98,0,2.94,0.98,0,2.94,0,0,0,0.98,0.98
 72-82,0,0,8.83,0.98,38.28,0,0.98,0,25.52,0,0,0,0,0.98,0.98,7.85,0,19.63,0,0.98,1.96,276.83,0,0,0,0.98,0.98,0,13.74,0,0,0.98,0.98,0
 84-94,0,0,23.36,0,41.42,0,2.12,1.06,12.74,0,0,0,0,1.06,0,14.87,0,21.24,0,0,2.12,177.36,1.06,1.06,0,3.19,1.06,0,7.43,0,1.06,0,1.06,0
 96-106,0,0,43.71,2.19,53.55,0,1.09,2.19,30.6,1.09,0,0,0,0,1.09,19.67,1.09,12.02,0,0,1.09,191.25,0,0,0,4.37,1.09,0,4.37,0,0,0,1.09,1.09
108-118,0,0.77,51.32,0,44.43,0,3.83,0,23.74,0.77,0,0,0,0.77,0,13.79,0,18.38,0.77,1.53,0,312.51,3.06,0.77,0,3.83,1.53,0,3.83,0.77,0,0,0,0
120,0,1.96,39.2,0,41.16,0,5.88,0,17.64,0,0,0,1.96,0,0,23.52,0,17.64,0,0,3.92,356.68,0,1.96,0,1.96,1.96,0,11.76,0,0,0,0,1.96
