stage,blastomeres,endoderm,epidermis,eye,glial,heart,immune,melanocytes,mesenchyme,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,15.77,18.4,0,0,0
 10-12,3.15,3.15,0,3.15,0,0,0,0,0,50.35,34.62,3.15,3.15,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,4.1,0,0,0.82,0
 36-46,0,0,0.81,0.81,0,0.81,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,6.31,0,0,0,0.57
 60-70,0,0,0,1.96,0,0,0,0.98,0.98,6.87,0,0,0.98,0
 72-82,0,0,0,0.98,0,0,0,0,0.98,17.67,0,0,0,1.96
 84-94,0,0,0,1.06,0,0,0,2.12,1.06,2.12,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,3.28,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.77,3.83,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,3.92,0,0,0,0
