stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,12,0,0,0,0
 24-34,0,0,0,0,0,9.03,0,0,0,0,0,0,0,0,0.82,0,0,0,3.28,0,1.64,9.85,0,0,0,1.64,0,37.76,0,0,0,0
 36-46,0,0,0,0,0,89.43,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,3.22,0,0,0,0,0,22.56,0,0,0,0
 48-58,0,0,0,0,0,438.96,0,0,0,1.72,0,0,0,0,0,0.57,0,0,2.3,0,0,13.77,0.57,0,0,0,0,9.75,0,0,0,0
 60-70,0,0,0,0,0,888.28,0,0,0,1.96,0,0.98,0,0.98,0,0,0.98,0,5.89,0.98,1.96,13.74,0,0,0,0,0,6.87,0,0,0,0.98
 72-82,0,0,0,0,0.98,661.64,0.98,1.96,0.98,4.91,0,0,0,0,0,0,0,0,7.85,3.93,1.96,28.47,1.96,1.96,0,0,0,3.93,0,1.96,0.98,0.98
 84-94,0,0,0,4.25,1.06,602.18,0,0,0,12.74,0,0,0,0,0,0,0,0,9.56,7.43,2.12,12.74,0,0,0,1.06,0,4.25,0,3.19,1.06,0
 96-106,0,0,0,0,0,328.95,0,0,0,9.84,0,0,1.09,0,0,0,0,1.09,5.46,4.37,2.19,15.3,0,0,0,0,0,3.28,0,0,1.09,2.19
108-118,0,0,0,0,0,275.75,0,0.77,0.77,0.77,1.53,0,0,0,0,0,0.77,0,5.36,6.13,0,17.62,0,0.77,0,0.77,0,0.77,0,0,0,0.77
120,0,0,0,1.96,0,195.98,0,0,0,3.92,0,0,0,0,0,0,3.92,0,3.92,3.92,1.96,19.6,0,0,0,0,0,1.96,1.96,0,0,0
