stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,otic,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,1,2,0,0,0,0,0,1,0,0,0,0,1,2,4,0,0,0,1,0,1,1,0,0
 24-34,0,1.64,0,1.64,0,0.82,0.82,0,0,0,1.64,0,0,0.82,0.82,1.64,12.31,0.82,0.82,3.28,0,0,0,2.46,0,0
 36-46,0,0,0,1.61,0,0,0,1.61,0,0,0,0.81,0,0,0.81,0.81,8.86,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,1.72,0,0.57,0.57,1.72,0,0,0,0,0,0,3.44,0.57,6.89,0,0,0.57,0,0.57,0,2.87,0,0.57
 60-70,0,0,0.98,3.93,0.98,0,0,0.98,0,0,0.98,0,1.96,0,0.98,0.98,6.87,0,0,1.96,0,0.98,0,0,0,0
 72-82,0,0.98,0,8.83,0,0,0,8.83,0,0,0.98,0,0.98,0,9.82,0.98,11.78,0,0.98,4.91,0,0,0,1.96,1.96,0
 84-94,0,0,1.06,2.12,0,0,0,0,0,0,0,0,2.12,1.06,5.31,0,7.43,0,0,2.12,0,0,0,0,1.06,0
 96-106,0,1.09,0,7.65,1.09,0,0,1.09,1.09,0,0,1.09,0,0,6.56,0,6.56,0,0,3.28,0,0,0,0,0,0
108-118,0,0,0,2.3,0,0,0,0.77,0,0,0.77,0,0.77,0,1.53,0,3.83,0,0,3.06,0,0,0,0,0,0
120,0,0,1.96,1.96,0,0,5.88,0,0,0,3.92,0,1.96,0,3.92,0,1.96,0,1.96,1.96,0,0,0,0,0,0
