stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,otic,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0
 24-34,0,0,0,0.82,0.82,0,0,0.82,0.82,0,0,0,0,0,0,0.82,0,0,4.1,0,0,0,0,0,0.82,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0,9.67,0,0,0,0,0.81,2.42,0,1.61,0,0
 48-58,0,0,0.57,0,4.02,0,0,4.02,0,0,0,0,0,0.57,0.57,0.57,0,1.15,16.07,0,0,0,0,1.15,9.75,0,0.57,0,1.15
 60-70,0,0,0,0,4.91,0,0,3.93,0.98,0,0,0,0,0,1.96,3.93,0,0,6.87,0,0,0,0,0,3.93,0,1.96,0.98,0
 72-82,0,0,0,0,25.52,0,0,5.89,1.96,0.98,0,0,0,0,30.43,3.93,0.98,0.98,30.43,0,0,0,0,0.98,1.96,1.96,0,0.98,0
 84-94,0,1.06,0,0,12.74,0,0,5.31,1.06,0,0,1.06,1.06,0,73.28,3.19,0,2.12,14.87,1.06,0,3.19,0,4.25,1.06,0,2.12,0,0
 96-106,1.09,3.28,0,1.09,12.02,1.09,0,5.46,1.09,0,0,0,0,1.09,112.56,3.28,0,0,28.41,0,1.09,2.19,0,3.28,0,0,1.09,0,0
108-118,0.77,4.6,0,0,3.83,0,0.77,3.06,3.06,0,0.77,0,0.77,0,161.62,3.83,0,0.77,15.32,0.77,0,0,0,1.53,0,0,0.77,0,0.77
120,0,1.96,0,0,3.92,0,0,9.8,1.96,0,0,0,0,1.96,86.23,0,0,0,21.56,0,0,0,0,1.96,0,0,0,0,0
