stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,158.14,1291.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,1121.72,6.13,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,55.17,12.26,0,0,12.26,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,47.32,15.77,39.43,0,0,0,47.32,0,0,0,0,47.32,0,0,0,0,0,0,0,0,0,0,0,483.68,44.69,0,0,199.78,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,31.47,0,0,0,44.06,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,339.87,40.91,0,0,182.52,0,0,3.15,0,28.32,0,0,0,0,0,0,0
 14-21,0,0,3,16,3,0,4,0,0,3,1,0,0,0,0,0,0,0,1,16,0,0,4,89,7,1,3,3,0,2,0,17,1,0,10,50,0,2,0,0
 24-34,0,0,0.82,1.64,0.82,0,9.85,0,0,4.1,0,0.82,0.82,0,0.82,0,1.64,0,0,19.7,0,0,9.85,161.71,4.1,2.46,0.82,0,0,4.1,0,0,1.64,0,0.82,53.36,0,2.46,0,0.82
 36-46,0,0,0,1.61,0,0,41.09,0,0,4.83,0,0,0,0,0,0,0.81,0,0,24.98,0,0.81,8.86,257.01,0,1.61,0.81,0,0,2.42,0,0,0,0,0,65.26,0,0,0.81,0
 48-58,0,0,0,1.72,0,0,47.05,0,0.57,7.46,0,0,0,0,0.57,0,0.57,1.15,0,22.38,0.57,1.15,2.87,149.76,0.57,0,1.15,0,0.57,1.72,0,0,0,0,0,45.9,0,0.57,0,0.57
 60-70,0,0,0,0.98,0.98,0,77.54,0,0.98,16.69,0,0,0,0,0,0,0,0,0,23.56,0,0.98,0.98,209.06,0,1.96,0.98,0,0,0,0,0,0,0,0,27.48,1.96,0.98,0,0
 72-82,0,0,0,4.91,0.98,0,83.44,0,1.96,9.82,0,0,0,0,0,0,0,0.98,0,42.21,0,2.94,5.89,185.53,0,1.96,1.96,0,0,0.98,0,0,0,0.98,0,19.63,1.96,1.96,0,0.98
 84-94,0,0,0,2.12,1.06,0,47.79,1.06,1.06,15.93,1.06,0,0,0,0,0,0,0,2.12,31.86,0,2.12,1.06,88.15,0,1.06,1.06,0,0,3.19,0,0,0,0,0,10.62,0,1.06,0,0
 96-106,0,0,0,1.09,1.09,0,43.71,0,1.09,12.02,0,0,0,0,0,0,2.19,0,0,18.58,1.09,1.09,2.19,96.17,0,1.09,1.09,0,0,1.09,0,0,0,0,0,8.74,1.09,1.09,3.28,0
108-118,0,0,0.77,2.3,2.3,0.77,35.23,0,0.77,7.66,1.53,0,0,1.53,1.53,0,0,0.77,0,16.85,0.77,0,0.77,97.28,0,1.53,2.3,0,0,5.36,0,0,0.77,0,0,2.3,0,0.77,0,0
120,0,0,0,7.84,1.96,0,35.28,1.96,0,3.92,1.96,0,0,0,0,3.92,0,1.96,0,7.84,0,1.96,3.92,109.75,0,1.96,0,0,1.96,3.92,0,0,0,0,0,3.92,0,3.92,0,0
