stage,endocrine.pancreas,epidermis,eye,glial,mesenchyme,muscle,neural,olfactory,periderm,presomitic.mesoderm,spinal.cord,vasculature
 14-21,0,1,0,1,0,0,3,0,0,1,3,0
 24-34,0,0.82,1.64,2.46,0.82,1.64,7.39,0,0,0,3.28,0
 36-46,0,0,0,1.61,0,0,2.42,0,0,0,1.61,0
 48-58,0,0,1.72,0,1.15,0,2.3,0,0,0,0,0
 60-70,0,0,0.98,0.98,0,0,0.98,0,0,0,0,0
 72-82,0,0,0.98,0.98,2.94,0.98,1.96,0.98,0,0,0,0.98
 84-94,1.06,0,1.06,2.12,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0.77,0,0.77,0,0,0,0,0
120,0,0,0,0,0,0,3.92,1.96,1.96,0,1.96,0
