stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,glial,hatching.gland,mesenchyme,mural.cell,neural,otic,paraxial.mesoderm,pericytes,spinal.cord
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,15.77,0,7.89,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,15.73,0,3.15,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,15.7,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,63.81,2.94,0,0,0,3.93,0,0,0.98,0
 84-94,0,0,1.06,0,35.05,3.19,0,1.06,0,2.12,0,0,0,0
 96-106,0,0,0,0,27.32,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,25.28,0.77,0,0.77,0.77,0,0,0,0,0
120,0,0,0,0,11.76,0,0,0,0,0,0,0,0,0
