stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,6,41,19,0,39,0,0,0,13,3,0,0,0,5,0,0,0,0,26,0,0,28,455,7,4,11,2,0,4,41,8,3,61,134,0,0,2,0,0
 24-34,0,1.64,2.46,13.13,0.82,0,50.07,0,0.82,0,4.93,0,0,0,0.82,4.93,0,0,0.82,0,27.09,0.82,0,11.49,527.81,0.82,3.28,10.67,0,0,9.85,0,0.82,1.64,4.1,121.49,0,0,4.1,0,0
 36-46,0,0,0.81,4.03,0,0,87.82,0.81,0,0,20.95,1.61,0,0,0.81,3.22,1.61,1.61,2.42,0.81,41.89,0,0.81,14.5,425.39,2.42,0.81,4.83,0,0,9.67,0,3.22,0,0,115.21,0,0,2.42,0,0.81
 48-58,0,0.57,0,5.74,1.15,0,154.93,1.72,2.3,2.3,43.61,0.57,0.57,0.57,0,0.57,1.15,1.72,0,0.57,74.59,0.57,1.72,16.64,235.26,0.57,2.3,4.02,0,0,8.03,0,1.15,0,0,61.97,0,0,3.44,0,0
 60-70,0,0.98,0,11.78,4.91,0,143.3,0.98,2.94,3.93,36.32,5.89,0,1.96,1.96,2.94,0,2.94,1.96,0,65.76,0,2.94,8.83,157.04,1.96,0.98,1.96,0,0,8.83,0,0.98,1.96,0,32.39,0,0,2.94,0,0.98
 72-82,0,1.96,0.98,11.78,21.6,0,154.12,1.96,1.96,1.96,68.72,4.91,0.98,0.98,22.58,1.96,0.98,1.96,0.98,0,133.51,0.98,2.94,17.67,170.81,1.96,7.85,5.89,0,2.94,14.72,0,0,0.98,0,21.6,6.87,2.94,9.82,4.91,1.96
 84-94,0,2.12,0,27.61,20.18,0,117.89,0,3.19,8.5,35.05,8.5,0,1.06,19.12,13.81,3.19,2.12,4.25,1.06,81.78,4.25,5.31,19.12,103.02,3.19,3.19,6.37,0,2.12,55.23,0,4.25,0,0,9.56,2.12,1.06,11.68,4.25,2.12
 96-106,0,0,0,12.02,15.3,0,56.83,0,4.37,1.09,33.88,3.28,0,2.19,17.49,13.11,2.19,1.09,1.09,0,96.17,1.09,2.19,13.11,111.47,0,7.65,12.02,0,0,38.25,0,3.28,0,0,5.46,1.09,1.09,7.65,3.28,1.09
108-118,0,3.06,0,25.28,20.68,6.89,65.11,2.3,12.26,4.6,36.77,9.96,0,0,17.62,11.49,2.3,0.77,8.43,3.06,86.55,1.53,2.3,12.26,142.47,4.6,5.36,6.13,0,2.3,38.3,0,3.06,0,0,2.3,2.3,0,6.13,1.53,2.3
120,0,0,0,35.28,27.44,1.96,41.16,0,7.84,0,13.72,3.92,0,1.96,9.8,1.96,1.96,1.96,1.96,1.96,35.28,1.96,0,19.6,66.63,5.88,7.84,5.88,0,0,17.64,0,7.84,0,0,1.96,0,1.96,9.8,1.96,0
