stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,11,13,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,7,0,0,0,2,3,0,2,0,0,0,0
 24-34,0,4.1,153.5,0,2.46,0,0,0,0.82,0,0,0,2.46,0,0,0,1.64,0,1.64,28.73,0,0.82,0,4.1,0,0.82,3.28,0,0,0,0
 36-46,0,6.45,125.68,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,8.06,0.81,0,0,4.03,0,0,2.42,0,0,0,0
 48-58,0,2.3,208.86,0,2.87,0,0,0.57,0.57,0,0,0,0.57,0,0,0.57,2.3,0.57,0,8.03,0,0.57,0,4.02,0,0,2.3,0,0.57,0,0
 60-70,0,2.94,297.4,0,10.8,0,0,0,0,0.98,0,0.98,1.96,0,0,0.98,0.98,0,0,11.78,0,1.96,0,0.98,0,0,0.98,0,0.98,0,0.98
 72-82,0,2.94,299.41,0,6.87,0,1.96,0,1.96,0,0,0,0,0,0,0,4.91,0,0,14.72,0,0,0,7.85,0,0,0,0,0.98,0,0
 84-94,0,19.12,233.65,0,5.31,1.06,3.19,0,2.12,1.06,0,1.06,1.06,1.06,1.06,0,2.12,0,0,8.5,1.06,2.12,0,24.43,0,0,0,1.06,1.06,0,0
 96-106,1.09,8.74,244.8,0,5.46,0,1.09,0,0,1.09,1.09,0,1.09,0,1.09,1.09,4.37,0,0,9.84,0,2.19,0,13.11,0,0,0,3.28,2.19,1.09,1.09
108-118,0,7.66,154.72,0.77,3.06,0,0.77,0,0.77,1.53,0,0,0.77,0,0,0,1.53,0.77,0.77,7.66,0,0,0,11.49,0,0,0,0,0.77,0,0
120,0,19.6,139.14,0,1.96,0,1.96,0,1.96,5.88,0,0,0,1.96,1.96,0,3.92,0,0,3.92,1.96,1.96,0,15.68,0,0,0,1.96,0,0,0
