stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.mesenchyme,glial,immune,ionocyte,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,202.28,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,47.32,0,0,0,0,0,0,0,0,0,294.42,7.89,0,0,15.77,5.26,0,0,0,0,0
 10-12,0,12.59,0,0,37.76,0,0,0,0,0,0,0,0,0,298.96,0,0,0,15.73,3.15,3.15,0,3.15,0,0
 14-21,0,0,0,1,5,0,0,2,0,0,0,1,0,0,120,0,0,0,0,1,0,0,3,29,0
 24-34,0,0,0.82,0,18.06,0,0,4.93,0,1.64,0,0.82,0,0,177.3,0,1.64,0.82,0,0,0,0,0,27.91,0.82
 36-46,0,0,0,0,62.84,0,0,39.48,0,0,0,2.42,0,0.81,371.41,0,0,0,0,0,0,0,0,38.67,0.81
 48-58,0,0,0,1.15,110.74,0,0,80.33,0,0.57,0,2.3,0,0.57,200.26,0,0,0,0,0,0,0,0,26.97,0
 60-70,0,0,0,0,146.25,0,0,223.79,0,0.98,0,1.96,0.98,1.96,142.32,0,0,0,0,0,0,0,0,36.32,0
 72-82,0,0,0,0,54.97,0,0.98,112.89,0,1.96,0,1.96,0,0.98,85.4,0,0,0,0,0,0,0,0,10.8,0
 84-94,0,0,0,1.06,108.33,0,0,66.91,1.06,3.19,0,3.19,0,0,59.47,0,0,0,0,1.06,2.12,0,0,7.43,0
 96-106,0,0,0,3.28,101.63,0,0,71.04,0,0,1.09,6.56,0,0,55.74,0,0,0,0,2.19,0,1.09,0,1.09,0
108-118,0,0,0,2.3,129.45,0.77,0,61.28,0,4.6,0,1.53,0.77,1.53,46.72,0,0.77,0.77,0,0,0,0,0,0.77,0
120,0,0,0,3.92,50.95,0,0,62.71,0,5.88,0,1.96,0,0,33.32,1.96,1.96,3.92,0,0,0,0,0,0,0
