stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,1291.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,392.3,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,0,5.26,0,0,0,105.15,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,233.96,21.03,0,0,60.46,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,37.76,0,6.29,0,3.15,0,182.52,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,1598.66,69.23,0,0,465.75,0,0,0,3.15,3.15,0,40.91,0,0,0,0,0
 14-21,0,1,0,1,47,8,0,630,0,0,0,5,2,1,0,0,0,0,1,0,0,74,0,0,252,2032,257,0,61,9,0,3,0,504,6,252,2458,126,0,0,0,0
 24-34,0,0,1.64,0.82,9.85,0,0,203.57,2.46,0,4.1,8.21,0.82,0,1.64,0,0.82,0,1.64,1.64,0,228.2,0,1.64,178.13,1383.96,128.87,1.64,38.58,0.82,0,1.64,0,3.28,1.64,54.18,330.81,91.94,0,1.64,0,0
 36-46,0,0,0,0,15.31,0,0,73.32,2.42,0,4.83,67.68,0,0,1.61,0,0,0.81,0,0,0,300.51,0,4.03,111.18,772.64,111.18,2.42,31.42,0,0,0,0.81,0,2.42,19.34,1.61,46.73,0,0.81,0,0.81
 48-58,0,0,0,0,5.16,0,0,44.76,1.72,0,4.02,108.45,0,0.57,0.57,0,0,3.44,1.15,0,0.57,430.35,0,12.05,95.83,316.17,55.66,2.3,21.8,0,0,1.15,0,0,0,8.03,0,14.35,2.3,1.15,0,0.57
 60-70,0,0,0.98,0,4.91,0,0,34.35,4.91,0.98,7.85,105.02,0,0,0,0,0.98,20.61,0,0.98,0.98,553.58,0,19.63,83.43,161.95,30.43,4.91,20.61,0,0.98,0,0,0,0,4.91,0,10.8,18.65,1.96,6.87,0
 72-82,0,0,0,0,3.93,0,0,46.14,2.94,0.98,11.78,74.61,0.98,0,0,0,0,16.69,1.96,0.98,0,643.97,0.98,22.58,72.64,129.58,24.54,1.96,25.52,0,4.91,0.98,0,0,0,0.98,0,6.87,28.47,0,39.27,0
 84-94,0,0,0,0,15.93,0,0,46.73,7.43,0,7.43,49.92,1.06,0,0,2.12,0,33.99,0,0,0,398.26,0,20.18,77.53,84.96,50.98,2.12,26.55,0,1.06,2.12,0,0,1.06,3.19,0,6.37,29.74,2.12,37.17,0
 96-106,0,0,0,0,13.11,1.09,1.09,37.16,2.19,0,4.37,71.04,2.19,0,0,4.37,0,57.92,0,1.09,0,310.37,1.09,8.74,56.83,78.68,41.53,2.19,20.76,1.09,2.19,2.19,0,0,2.19,2.19,0,2.19,34.97,0,46.99,2.19
108-118,0,0,0,0,9.96,0,0,29.87,3.83,2.3,3.06,52.09,0.77,0,0,2.3,0,64.34,2.3,0,0,268.09,1.53,9.19,59.75,111.06,52.09,2.3,29.11,0,0.77,1.53,0,0,0,3.06,0,3.06,35.23,0,25.28,0
120,1.96,0,0,0,13.72,0,0,29.4,1.96,0,3.92,37.24,0,0,0,5.88,0,31.36,1.96,0,0,190.1,0,9.8,54.87,82.31,50.95,5.88,13.72,0,3.92,0,0,0,0,0,0,1.96,17.64,0,39.2,0
