stage,blastomeres,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fin.epithelia,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,neural,periderm,pronephros,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,2.94,0,0,0,0,5.89,0,0,0,0,0,0.98,0,0,0
 84-94,0,4.25,0,0,0,0,7.43,0,0,0,0,0,0,0,2.12,0
 96-106,0,6.56,1.09,0,1.09,0,31.69,1.09,0,0,0,0,2.19,1.09,0,0
108-118,0,6.13,0.77,6.89,0.77,0,32.17,0,0,0,0.77,0.77,2.3,0,0.77,0.77
120,0,7.84,0,1.96,0,0,37.24,0,3.92,1.96,0,0,3.92,0,0,0
