stage,axial,blastomeres,epidermis,eye,fast_muscle,gut,heart,immune,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,12.26,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,21.03,5.26,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,12.59,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,4.93,0,0.82,0,0,0.82,0,0,0
 36-46,0,0,0,0,5.64,0,0.81,0,0,0.81,0,0,0,0,1.61,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,1.72,0,0,0,0,0,0,0,0,0,1.15,0,0.57,0,0.57,0,0,0,0
 60-70,0,0,0.98,0.98,0.98,0,0,0,0,0,0,0.98,0,0,6.87,0,0,0,0,0.98,0,0,0
 72-82,0,0,0.98,7.85,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,5.31,1.06,0,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0,1.06,0,0
 96-106,0,0,1.09,5.46,0,0,0,0,0,0,1.09,0,1.09,1.09,2.19,0,0,0,0,0,1.09,1.09,1.09
108-118,0,0,0,3.06,1.53,0,0,2.3,0,0,1.53,0,0.77,0,2.3,0,0,0,0,0,0.77,0,0
120,0,0,0,9.8,0,1.96,0,1.96,0,0,0,0,0,0,3.92,0,1.96,0,0,0,3.92,0,0
