stage,axial,blastomeres,endoderm,eye,glial,hatching.gland,heart,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,0,0,0,0,13.14,5.26,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,37.76,0,0,12.59,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,0,0,0,0.57,0,0,6.31,0,0,0,0,0,0
 60-70,0,0,0,1.96,0.98,0,0,0,0.98,0,0,11.78,0,0,0,0,0,0.98
 72-82,0,0,0,6.87,0,0,0.98,0,0,0,0,14.72,0,0,0,0,0.98,0.98
 84-94,0,0,0,1.06,0,0,0,1.06,1.06,0,0,5.31,0,0,0,1.06,0,0
 96-106,0,0,0,4.37,1.09,0,0,0,0,1.09,0,3.28,0,1.09,0,0,0,0
108-118,0,0,0,1.53,0,0,0,0,1.53,0,0,6.89,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
